NmeComp,Timestamp,Value,Hour,Day
BoomCylinder_LD,2022-04-14 12:00:00,54.31,12,2022-04-14
BoomCylinder_LD,2022-04-14 13:00:00,49.315,13,2022-04-14
BoomCylinder_LD,2022-04-14 14:00:00,60.825,14,2022-04-14
BoomCylinder_LD,2022-04-14 15:00:00,62.55,15,2022-04-14
BoomCylinder_LD,2022-04-14 16:00:00,62.245000000000005,16,2022-04-14
BoomCylinder_LD,2022-04-14 17:00:00,60.625,17,2022-04-14
BoomCylinder_LD,2022-04-14 18:00:00,60.80499999999999,18,2022-04-14
BoomCylinder_LD,2022-04-14 19:00:00,59.55,19,2022-04-14
BoomCylinder_LD,2022-04-14 20:00:00,55.44,20,2022-04-14
BoomCylinder_LD,2022-04-14 21:00:00,60.614999999999995,21,2022-04-14
BoomCylinder_LD,2022-04-14 22:00:00,61.345000000000006,22,2022-04-14
BoomCylinder_LD,2022-04-14 23:00:00,58.855,23,2022-04-14
BoomCylinder_LD,2022-04-15 00:00:00,58.904999999999994,0,2022-04-15
BoomCylinder_LD,2022-04-15 01:00:00,58.760000000000005,1,2022-04-15
BoomCylinder_LD,2022-04-15 02:00:00,57.81,2,2022-04-15
BoomCylinder_LD,2022-04-15 03:00:00,59.86,3,2022-04-15
BoomCylinder_LD,2022-04-15 04:00:00,57.98,4,2022-04-15
BoomCylinder_LD,2022-04-15 05:00:00,56.345000000000006,5,2022-04-15
BoomCylinder_LD,2022-04-15 06:00:00,62.57000000000001,6,2022-04-15
BoomCylinder_LD,2022-04-15 07:00:00,60.589999999999996,7,2022-04-15
BoomCylinder_LD,2022-04-15 08:00:00,58.985,8,2022-04-15
BoomCylinder_LD,2022-04-15 09:00:00,58.065,9,2022-04-15
BoomCylinder_LD,2022-04-15 10:00:00,56.114999999999995,10,2022-04-15
BoomCylinder_LD,2022-04-15 11:00:00,62.80499999999999,11,2022-04-15
BoomCylinder_LD,2022-04-15 12:00:00,62.985,12,2022-04-15
BoomCylinder_LD,2022-04-15 13:00:00,64.75,13,2022-04-15
BoomCylinder_LD,2022-04-15 14:00:00,59.725,14,2022-04-15
BoomCylinder_LD,2022-04-15 15:00:00,64.99,15,2022-04-15
BoomCylinder_LD,2022-04-15 16:00:00,65.285,16,2022-04-15
BoomCylinder_LD,2022-04-15 17:00:00,63.714999999999996,17,2022-04-15
BoomCylinder_LD,2022-04-15 18:00:00,64.185,18,2022-04-15
BoomCylinder_LD,2022-04-15 19:00:00,50.97,19,2022-04-15
BoomCylinder_LD,2022-04-15 20:00:00,37.845,20,2022-04-15
BoomCylinder_LD,2022-04-15 21:00:00,52.44,21,2022-04-15
BoomCylinder_LD,2022-04-15 22:00:00,61.82000000000001,22,2022-04-15
BoomCylinder_LD,2022-04-15 23:00:00,61.975,23,2022-04-15
BoomCylinder_LD,2022-04-16 00:00:00,62.495000000000005,0,2022-04-16
BoomCylinder_LD,2022-04-16 01:00:00,60.3,1,2022-04-16
BoomCylinder_LD,2022-04-16 02:00:00,63.105,2,2022-04-16
BoomCylinder_LD,2022-04-16 03:00:00,62.33,3,2022-04-16
BoomCylinder_LD,2022-04-16 04:00:00,57.55,4,2022-04-16
BoomCylinder_LD,2022-04-16 05:00:00,56.48,5,2022-04-16
BoomCylinder_LD,2022-04-16 06:00:00,60.185,6,2022-04-16
BoomCylinder_LD,2022-04-16 07:00:00,60.425,7,2022-04-16
BoomCylinder_LD,2022-04-16 08:00:00,55.464999999999996,8,2022-04-16
BoomCylinder_LD,2022-04-16 09:00:00,59.27,9,2022-04-16
BoomCylinder_LD,2022-04-16 10:00:00,45.275,10,2022-04-16
BoomCylinder_LD,2022-04-16 11:00:00,62.955,11,2022-04-16
BoomCylinder_LD,2022-04-16 12:00:00,60.96,12,2022-04-16
BoomCylinder_LD,2022-04-16 13:00:00,62.6,13,2022-04-16
BoomCylinder_LD,2022-04-16 14:00:00,58.654999999999994,14,2022-04-16
BoomCylinder_LD,2022-04-16 15:00:00,60.89,15,2022-04-16
BoomCylinder_LD,2022-04-16 16:00:00,61.975,16,2022-04-16
BoomCylinder_LD,2022-04-16 17:00:00,58.760000000000005,17,2022-04-16
BoomCylinder_LD,2022-04-16 18:00:00,61.879999999999995,18,2022-04-16
BoomCylinder_LD,2022-04-16 19:00:00,59.225,19,2022-04-16
BoomCylinder_LD,2022-04-16 20:00:00,58.67,20,2022-04-16
BoomCylinder_LD,2022-04-16 21:00:00,40.019999999999996,21,2022-04-16
BoomCylinder_LD,2022-04-16 22:00:00,57.105,22,2022-04-16
BoomCylinder_LD,2022-04-16 23:00:00,51.005,23,2022-04-16
BoomCylinder_LD,2022-04-17 00:00:00,39.165,0,2022-04-17
BoomCylinder_LD,2022-04-17 01:00:00,52.295,1,2022-04-17
BoomCylinder_LD,2022-04-17 02:00:00,61.015,2,2022-04-17
BoomCylinder_LD,2022-04-17 03:00:00,58.06,3,2022-04-17
