Parametro,Timestamp,Value,NmeComp
Temperature,11-Apr-2022 17:14:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:17:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:20:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:23:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:26:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:29:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:32:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:35:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:38:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:41:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:44:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:47:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:50:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:53:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:56:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:59:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:02:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:05:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:08:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:11:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:14:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:17:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:20:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:23:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:26:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:29:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:32:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:35:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:38:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:41:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:44:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:47:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:50:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:53:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:56:52,25.9,MainPumpP1
Temperature,11-Apr-2022 18:59:52,26.1,MainPumpP1
Temperature,11-Apr-2022 19:02:52,26.2,MainPumpP1
Temperature,11-Apr-2022 19:05:52,26.3,MainPumpP1
Temperature,11-Apr-2022 19:08:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:11:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:14:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:17:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:20:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:23:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:26:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:29:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:32:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:35:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:38:52,26.3,MainPumpP1
Temperature,11-Apr-2022 19:41:52,26.3,MainPumpP1
Temperature,11-Apr-2022 19:44:52,26.3,MainPumpP1
Temperature,11-Apr-2022 19:47:52,26.2,MainPumpP1
Temperature,11-Apr-2022 19:50:52,26.2,MainPumpP1
Temperature,11-Apr-2022 19:53:52,26.2,MainPumpP1
Temperature,11-Apr-2022 19:56:52,26.1,MainPumpP1
Temperature,11-Apr-2022 19:59:52,26.1,MainPumpP1
Temperature,11-Apr-2022 20:02:52,26.1,MainPumpP1
Temperature,11-Apr-2022 20:05:52,26.0,MainPumpP1
Temperature,11-Apr-2022 20:08:52,26.0,MainPumpP1
Temperature,11-Apr-2022 20:11:52,26.0,MainPumpP1
Temperature,11-Apr-2022 20:14:52,25.9,MainPumpP1
Temperature,11-Apr-2022 20:17:52,25.9,MainPumpP1
Temperature,11-Apr-2022 20:20:52,25.8,MainPumpP1
Temperature,11-Apr-2022 20:23:52,25.8,MainPumpP1
Temperature,11-Apr-2022 20:26:52,25.8,MainPumpP1
