MAE,MSE,RMSE,R²,Activation_Function,Nome_DF
0.5351202846597309,0.6489068708609003,0.8055475596517565,0.9963146446812927,relu,df_results_RNN80Sample
0.5555046823419677,0.7549715456364622,0.8688909860485734,0.9957122685455732,tanh,df_results_RNN80Sample
0.7447861120305911,0.8920277452086843,0.9444722045717833,0.9949338813582328,sigmoid,df_results_RNN80Sample
0.5678102423076982,0.7827187979509341,0.8847139639176801,0.9955546827832881,linear,df_results_RNN80Sample
46.513917567468496,2331.794288523764,48.288655898914435,-12.243025878183868,relu,df_results_LSTM80Sample
46.50522136771149,2331.00103228885,48.28044150884342,-12.23852071540056,tanh,df_results_LSTM80Sample
46.50314134404795,2330.8408037826603,48.278782128204725,-12.23761072507065,sigmoid,df_results_LSTM80Sample
46.51281820994762,2331.7209059035085,48.28789606002221,-12.242609114173495,linear,df_results_LSTM80Sample
0.450140187850827,0.23927200266337226,0.4891543750835438,0.9635487399807835,relu,df_results_LSTM_3Targ
0.4416248486164781,0.23464385591513448,0.4844005118857065,0.967052275774522,tanh,df_results_LSTM_3Targ
0.7607351203204342,0.614172015456927,0.7836912756034273,0.6965406373306711,sigmoid,df_results_LSTM_3Targ
0.39428701026476415,0.19637142028370166,0.44313815033655324,0.9675637004545207,linear,df_results_LSTM_3Targ
