"data","Variacao_Brent","Variacao_Petrobras","Variacao_Chevrom","Variacao_Exxom","Variacao_TotalEnergies"
2023-06-12,3.41036289327384,-5.07867745150888,0.750011226115729,0.0187974749156046,0.259204300410402
2023-06-13,-1.46722836701067,4.67219189277695,-0.895841409472612,-1.20255425586035,0.120647525460043
2023-06-14,3.37431874819554,-0.719945133175404,0.757529103792435,0.69417620969713,1.10173762776258
2023-06-15,1.24223928129032,0.797676990439371,-0.644430300939837,-0.717727963557151,-1.17486571102862
2023-06-16,-0.92677075945195,2.37410023570124,-2.27648604610588,-2.29239617205131,-1.30944542426269
2023-06-20,1.60737970510728,4.98945931824972,0.780851291138894,1.11954975877398,2.6012599689603
2023-06-21,-3.86411209906976,-1.74028970890259,-1.44628449286197,-0.548762568356399,-2.2970942288636
2023-06-22,-0.391153112914365,-4.01907452535871,-0.845121391044439,-0.87125024132676,-1.32357775299308
2023-06-23,0.446854215129527,2.34208601939148,1.75750795906853,1.84570250145001,1.46488145656535
2023-06-26,-2.58829625376981,-1.24826840654193,-0.311665310472886,0.249306869257381,-1.32197271532723
2023-06-27,2.4494832420977,-0.421344570974578,0.905360125512779,0.813006646877105,-0.193902011702999
2023-06-28,0.418745864791756,1.05782521369586,0.852057410160499,1.23339222347526,0.777114888213851
2023-06-29,0.753302684389398,-3.48918354963038,0.710445834182049,0.515466792398122,1.01647038625711
2023-06-30,-0.333778364361744,1.01229460661618,-0.0889732343301623,0.195803342165965,0.86745316671498
2023-07-03,2.67916940270478,-0.429494763563526,-0.572488465642687,-0.511814095523719,-1.4447887193089
2023-07-05,-0.169608454304606,-2.8756263329846,-2.19435271534456,-3.7321161317836,-3.33333311141956
2023-07-06,2.54835946573892,0.740188202081743,0.876502024524514,0.233196169290668,1.35403503929297
2023-07-07,-0.994008878760044,-0.0734700621582621,0.667876261927249,1.48313176132521,0.445315288061968
2023-07-10,2.20105422929082,-0.294117358316412,1.84862809480709,1.22265617484669,1.75563342646273
2023-07-11,0.894205378876836,0.36872592561405,0.961297950542861,0.490701743018772,1.76019223201869
2023-07-12,1.56035450065704,1.54298341987078,-1.3342551308918,-1.83115502616272,0.924817470751908
2023-07-13,-1.83136412560453,-2.09840787450674,-2.49507511449404,-3.44365644020796,-2.78296178712977
2023-07-14,-1.71529072176053,-0.22172752079288,-0.0911573043233921,0.435897366128372,-0.471287228920994
2023-07-17,1.4394869470293,-0.814812271682962,0.202031773762767,-0.453737519170714,1.47316756549329
2023-07-18,-0.213485087038605,1.04555180028964,0.611383701727476,0.69362325637894,1.29623227115179
2023-07-19,0.226529457902888,0.517373613304037,1.10543113846399,1.76146513200838,1.7403181148977
2023-07-20,1.79558050745249,2.4264699591901,1.4641998940471,0.464167595532993,0.855271360720979
2023-07-21,2.05994594206458,2.79970840706652,1.97240206355704,1.56896454229878,0.714998851911876
2023-07-24,1.08774661483644,1.67598275074856,0.457292177037399,0.151633498104849,-0.346704780469966
2023-07-25,-0.860833603487815,-0.137365777385225,-0.750492888180112,-0.558292927310015,-1.07687461780348
2023-07-26,1.59189547029991,-5.84594486726102,-1.0412747699979,0.314018310546863,-0.904372674270942
2023-07-27,0.890313412890725,1.75310980386298,-0.494806793686978,-1.19521393352402,1.25063664249898
2023-07-28,0.670666795095061,5.38406305505486,3.01504921768753,2.95698357658701,1.5690179087016
2023-07-31,-0.759693682832646,-3.33787952728951,-0.83099143341023,-0.578137942501262,-0.821692707539911
2023-08-01,-2.01390488766435,-0.986606016831316,-1.58349185206079,-1.24742243180784,-3.39685052012002
2023-08-02,2.3317337891407,-0.142352010620536,-0.0375618607643033,1.73805851946301,1.68095978569659
2023-08-03,1.29198788114491,-3.63506261521143,-0.225465406450423,0.28005546552562,2.29419810788942
2023-08-04,-1.04360105307587,-0.369823883446606,0.364071207044418,-0.204804714627708,0.610156556083281
2023-08-07,0.972582454501682,0.148474414943804,-0.150106632109691,0.494408977406874,-0.262251846933146
2023-08-08,1.60149113628488,0.815423367070838,0.13154194919929,1.69868573715422,2.77732536365624
2023-08-09,-1.31353681986628,0.588234716633556,0.606781694607474,0.5111401975785,1.24719982072025
2023-08-10,0.474532436891331,-0.365498462130758,2.06428653089025,1.55285056467734,-1.18445989200045
2023-08-11,-0.691162874087319,-0.953779261550892,-0.0731008965267997,0.0804760229065899,-1.51830073129756
2023-08-14,-1.53114454105365,-0.518516257957031,-2.92019345350233,-3.35953767722568,-0.795192911819504
2023-08-15,-1.6963157636467,3.05286551076316,-0.38306995058362,-1.68269902237032,-0.245381192962449
2023-08-16,0.802882951278423,-0.722546100918945,0.706042414873156,1.93718756717127,0.475567264192153
2023-08-17,0.8083693330638,1.09170723947103,0.719870983714557,1.51291454479959,1.04455587541506
2023-08-18,-0.400948060199452,-1.51187928694293,-0.335608021513925,-1.20865305342463,1.24374165669762
2023-08-21,-0.509117108497397,-1.16958950177483,-0.823152481413601,-0.561126497552449,-0.127635339287156
2023-08-22,-0.975841612205561,7.54437477480689,0.132046480591306,-0.87881310051028,-0.750794596584854
2023-08-23,0.180268630608478,-0.343880267303859,-0.82260443239812,-0.746619729692485,-0.724288999200315
2023-08-24,1.34357334258813,-1.24223156897683,0.747114510283601,1.78655529209185,0.940334003709028
2023-08-25,-0.0710288655349238,1.32773986591113,0.685024905811623,0.840650034280837,0.530038290959222
2023-08-28,1.26747182898876,0.551723611766213,-0.15604518414789,0.595450599742534,0.990571865111533
2023-08-29,0.43280238136362,-0.274348162293629,0.137525601825906,0.974410088892904,-0.0791002021591213
