Modelo,MAE,MSE,R2
GRU,9.836177553132208,164.74978335311724,-0.002444680837390134
LSTM,10.093131775053957,164.4288610811334,-0.0004919813074435453
ARIMA,15.66188939673682,289.2160062086369,-0.7600302026294394
SARIMA,15.535662431121008,284.7528141426526,-0.732869351681924
ETS,12.053450904032227,192.79114089095438,-0.1732346187046343
FNN,9.510997531220172,146.51253342645336,0.10839483860277255
CNN,8.190118257715564,109.27891980145813,0.3349807920985567
Bi-RNN,8.032801394992404,106.23158888006736,0.353525389713895
GAN,8.098922004661814,107.17810919764621,0.3477653200407822
Gradient Boosting,7.870847616496729,104.08215439150466,0.36660581934860426
SVR,10.821842527112098,211.73166694839608,-0.2884975958537592
