MAE,MSE,RMSE,R²,Activation_Function,Nome_DF
0.5465422186822247,0.6560765101276159,0.8099854999489904,0.996273925944304,relu,df_results_RNN80Sample
0.6444324123640002,0.7731823561474644,0.8793078847294982,0.9956088433694987,tanh,df_results_RNN80Sample
0.8026849058654412,1.189537588305787,1.0906592448174577,0.993244225212088,sigmoid,df_results_RNN80Sample
0.5593364867696002,0.7948383625774076,0.8915370786329684,0.9954858517938776,linear,df_results_RNN80Sample
46.51133189256389,2331.6499727464143,48.28716157268321,-12.242206261469187,relu,df_results_LSTM80Sample
46.51498589296923,2331.9322033280423,48.290083902681744,-12.24380914166943,tanh,df_results_LSTM80Sample
46.4953209405269,2330.130044972194,48.2714205816671,-12.233574092265396,sigmoid,df_results_LSTM80Sample
46.510943405752535,2331.630612282557,48.28696110009986,-12.242096307034043,linear,df_results_LSTM80Sample
0.458375363704622,0.2524358854910172,0.5024299806848883,0.9658490970039343,relu,df_results_LSTM_3Targ
0.4025373772400201,0.19845023045706442,0.44547753081054986,0.9675221810596252,tanh,df_results_LSTM_3Targ
0.8095455012326054,0.7039391914048359,0.8390108410532225,0.6276952844010213,sigmoid,df_results_LSTM_3Targ
0.42095901295657984,0.2163778960542408,0.465164375306451,0.966994729420244,linear,df_results_LSTM_3Targ
