y_true,y_pred_svr_MainPumpP1,y_pred_lstm_MainPumpP1,y_pred_gru_MainPumpP1,y_true,y_pred_svr_MainPumpP2,y_pred_lstm_MainPumpP2,y_pred_gru_MainPumpP2
45.0,49.106706799106206,44.578598,44.9812,80.0,79.87403030033289,80.87022,80.20105
43.0,48.187667802538805,43.98056,44.514538,78.0,79.47742564587706,79.72527,79.10014
42.0,47.0575121447432,41.522224,41.945885,77.0,78.27100412300845,77.21668,76.6848
41.0,46.37165056524207,40.9301,41.453804,76.0,77.6811502727043,76.78799,76.199425
41.0,45.72676186171991,40.050793,40.580647,75.0,76.98596865310658,75.78437,75.110374
39.0,45.41276718335701,40.621937,41.247627,74.0,76.29340771837984,74.831985,74.15818
38.0,44.53698486754784,37.668354,38.034992,73.0,75.69955417489271,73.84596,73.15205
38.0,43.781288547701266,36.868534,37.365578,71.99999999999999,74.96648043555363,72.844185,72.1616
37.0,43.325975670990005,37.549152,38.19638,71.99999999999999,74.26323273616795,71.84572,70.998146
36.0,42.78559021949807,36.176464,36.67842,71.0,74.29925794591462,72.427704,71.46765
35.0,42.1269923442205,35.010715,35.495537,70.0,73.68079945124803,70.93854,69.9802
34.0,41.45569625553814,33.953686,34.471222,69.0,72.9210401621636,69.88405,68.945984
34.0,40.6902554956036,32.925472,33.453056,69.0,72.12359376317761,68.84732,67.83328
34.0,40.20872732224906,33.497646,34.136696,68.0,71.95764607762456,69.42304,68.475464
33.0,39.89698976622378,33.710724,34.32547,68.0,71.30654360734258,67.96063,67.07836
33.0,39.36781860699295,32.147827,32.622906,67.0,71.11270837435632,68.46698,67.656555
32.0,39.00276475866271,32.50427,33.10438,67.0,70.39822339639844,66.97255,66.090675
32.0,38.43084993106762,31.065088,31.600662,67.0,70.21987758793925,67.45081,66.64209
32.0,38.018060762845835,31.462828,32.087887,66.0,70.19185911446789,67.53903,66.695305
31.0,37.75275431632568,31.648716,32.290836,66.0,69.6036153512794,65.99041,65.22717
31.0,37.260177887597735,30.069645,30.587921,66.0,69.37434913716578,66.42723,65.64382
31.0,36.91482036606725,30.434883,31.066383,66.0,69.32982572301094,66.52387,65.687195
31.0,36.69696331907713,30.617708,31.271162,65.0,69.30395009479896,66.55447,65.81555
30.000000000000004,36.52015487947036,30.650887,31.271418,65.0,68.74310442213213,64.980255,64.22472
30.000000000000004,36.08546214749995,29.023207,29.568407,65.0,68.51364187223422,65.4077,64.63231
30.000000000000004,35.796986302897686,29.381868,30.041285,65.0,68.42163250913023,65.51404,64.67824
30.000000000000004,35.59139959236855,29.568727,30.256731,64.0,68.41228526907668,65.550514,64.8238
29.0,35.46048828136493,29.609024,30.258223,64.0,67.81541369768297,63.98143,63.24392
29.0,35.07206195015851,27.972984,28.552639,64.0,67.57391432950175,64.40202,63.645638
29.0,34.8044737745902,28.337034,29.021242,64.0,67.46994484222239,64.52271,63.69125
29.0,34.63096315499385,28.528496,29.242476,63.0,67.4534379403025,64.559784,63.83653
28.0,34.50680104751486,28.57006,29.244,63.0,66.86978177748895,62.98715,62.260296
28.0,34.14313313112737,26.922304,27.536995,63.0,66.62735639260372,63.401096,62.656944
28.0,33.89339889886064,27.290142,28.000803,63.0,66.51882525603682,63.529358,62.703766
