NmeComp,Date,Mean,Std_Dev,Variance
BoomCylinder_LD,2022-04-11,26.21744680851064,1.051938520036393,1.1065746499363576
BoomCylinder_LD,2022-04-12,30.55958333333333,7.266185003317462,52.79744450243559
BoomCylinder_LD,2022-04-13,34.81270833333333,13.18946505640968,173.961988474252
BoomCylinder_LD,2022-04-14,50.76854166666667,12.555908787020917,157.65084546798903
BoomCylinder_LD,2022-04-15,59.14479166666667,6.870329991674521,47.201434194502426
BoomCylinder_LD,2022-04-16,58.2325,6.677299749265789,44.58633194154497
BoomCylinder_LD,2022-04-17,56.707708333333336,7.959695113700139,63.35674630306188
BoomCylinder_LD,2022-04-18,50.350104384133616,11.05853742540492,122.29124998908124
BoomCylinder_LD,2022-04-19,50.83354166666666,12.06923745104127,145.66649264961717
BoomCylinder_LD,2022-04-20,54.274166666666666,8.041614061578635,64.66755671537923
BoomCylinder_LD,2022-04-21,52.14479166666667,11.333008947960122,128.4370918145442
BoomCylinder_LD,2022-04-22,58.17125,7.595499608361936,57.69161430062633
BoomCylinder_LD,2022-04-23,45.583125,14.936903712297214,223.1110925104383
BoomCylinder_LD,2022-04-24,53.91770833333333,10.613327136206593,112.64271290013924
BoomCylinder_LD,2022-04-25,39.18833333333334,12.950596238655327,167.7179429366735
BoomCylinder_LD,2022-04-26,42.07791666666667,9.852111662489428,97.06410421016018
BoomCylinder_LD,2022-04-27,54.36020833333334,9.896264660782675,97.93605423625606
BoomCylinder_LD,2022-04-28,57.34070512820512,8.601774483212054,73.990524260038
BoomCylinder_LE,2022-04-11,26.21744680851064,1.051938520036393,1.1065746499363576
BoomCylinder_LE,2022-04-12,30.55958333333333,7.266185003317462,52.79744450243559
BoomCylinder_LE,2022-04-13,34.81270833333333,13.18946505640968,173.961988474252
BoomCylinder_LE,2022-04-14,50.76854166666667,12.555908787020917,157.65084546798903
BoomCylinder_LE,2022-04-15,59.14479166666667,6.870329991674521,47.201434194502426
BoomCylinder_LE,2022-04-16,58.2325,6.677299749265789,44.58633194154497
BoomCylinder_LE,2022-04-17,56.707708333333336,7.959695113700139,63.35674630306188
BoomCylinder_LE,2022-04-18,50.350104384133616,11.05853742540492,122.29124998908124
BoomCylinder_LE,2022-04-19,50.83354166666666,12.06923745104127,145.66649264961717
BoomCylinder_LE,2022-04-20,54.274166666666666,8.041614061578635,64.66755671537923
BoomCylinder_LE,2022-04-21,52.14479166666667,11.333008947960122,128.4370918145442
BoomCylinder_LE,2022-04-22,58.17125,7.595499608361936,57.69161430062633
BoomCylinder_LE,2022-04-23,45.583125,14.936903712297214,223.1110925104383
BoomCylinder_LE,2022-04-24,53.91770833333333,10.613327136206593,112.64271290013924
BoomCylinder_LE,2022-04-25,39.18833333333334,12.950596238655327,167.7179429366735
BoomCylinder_LE,2022-04-26,42.07791666666667,9.852111662489428,97.06410421016018
BoomCylinder_LE,2022-04-27,54.36020833333334,9.896264660782675,97.93605423625606
BoomCylinder_LE,2022-04-28,57.34070512820512,8.601774483212054,73.990524260038
BucketCylinder_LD,2022-04-11,25.7931914893617,0.9286722126561882,0.8624320785597404
BucketCylinder_LD,2022-04-12,27.2875,4.21965898156096,17.805521920668085
BucketCylinder_LD,2022-04-13,29.309375,5.167282615595583,26.70080962943633
BucketCylinder_LD,2022-04-14,35.82520833333333,6.411850487873593,41.11182667884484
BucketCylinder_LD,2022-04-15,39.62770833333333,3.894828614410375,15.16968993562984
BucketCylinder_LD,2022-04-16,38.626666666666665,4.533383171366312,20.55156297842728
BucketCylinder_LD,2022-04-17,36.11729166666667,4.147028133068894,17.197842336464877
BucketCylinder_LD,2022-04-18,34.45791666666666,4.400510009507056,19.3644883437718
BucketCylinder_LD,2022-04-19,34.769375,4.428598418341805,19.61248395093953
BucketCylinder_LD,2022-04-20,35.84041666666667,3.71412580763788,13.794730514961724
BucketCylinder_LD,2022-04-21,33.814375,4.822314782247366,23.25471985908145
BucketCylinder_LD,2022-04-22,36.17041666666667,3.6644542971300735,13.428225295755068
BucketCylinder_LD,2022-04-23,31.637291666666663,4.715621106489815,22.23708241997222
BucketCylinder_LD,2022-04-24,35.19979166666667,5.083624284371198,25.843235864648577
BucketCylinder_LD,2022-04-25,30.70208333333333,5.136178509348035,26.380329679888604
BucketCylinder_LD,2022-04-26,31.44645833333333,4.774023740042989,22.79130267049405
BucketCylinder_LD,2022-04-27,38.775,5.168323302774727,26.711565762004263
BucketCylinder_LD,2022-04-28,38.01157556270097,3.4600477005728725,11.971930090239622
BucketCylinder_LE,2022-04-11,25.7931914893617,0.9286722126561882,0.8624320785597404
BucketCylinder_LE,2022-04-12,27.2875,4.21965898156096,17.805521920668085
BucketCylinder_LE,2022-04-13,29.309375,5.167282615595583,26.70080962943633
BucketCylinder_LE,2022-04-14,35.82520833333333,6.411850487873593,41.11182667884484
BucketCylinder_LE,2022-04-15,39.62770833333333,3.894828614410375,15.16968993562984
BucketCylinder_LE,2022-04-16,38.626666666666665,4.533383171366312,20.55156297842728
BucketCylinder_LE,2022-04-17,36.11729166666667,4.147028133068894,17.197842336464877
BucketCylinder_LE,2022-04-18,34.45791666666666,4.400510009507056,19.3644883437718
BucketCylinder_LE,2022-04-19,34.769375,4.428598418341805,19.61248395093953
BucketCylinder_LE,2022-04-20,35.84041666666667,3.71412580763788,13.794730514961724
BucketCylinder_LE,2022-04-21,33.814375,4.822314782247366,23.25471985908145
BucketCylinder_LE,2022-04-22,36.17041666666667,3.6644542971300735,13.428225295755068
BucketCylinder_LE,2022-04-23,31.637291666666663,4.715621106489815,22.23708241997222
