Parametro,Timestamp,Value,NmeComp
Temperature,2024-04-11 17:35:16,25.2,MainPumpP1
Temperature,2024-04-11 17:38:16,25.2,MainPumpP1
Temperature,2024-04-11 17:41:16,25.2,MainPumpP1
Temperature,2024-04-11 17:44:16,25.3,MainPumpP1
Temperature,2024-04-11 17:47:16,25.3,MainPumpP1
Temperature,2024-04-11 17:50:16,25.2,MainPumpP1
Temperature,2024-04-11 17:53:16,25.3,MainPumpP1
Temperature,2024-04-11 17:56:16,25.3,MainPumpP1
Temperature,2024-04-11 17:59:16,25.3,MainPumpP1
Temperature,2024-04-11 18:02:16,25.3,MainPumpP1
Temperature,2024-04-11 18:05:16,25.3,MainPumpP1
Temperature,2024-04-11 18:08:16,25.3,MainPumpP1
Temperature,2024-04-11 18:11:16,25.4,MainPumpP1
Temperature,2024-04-11 18:14:16,25.4,MainPumpP1
Temperature,2024-04-11 18:17:16,25.4,MainPumpP1
Temperature,2024-04-11 18:20:16,25.4,MainPumpP1
Temperature,2024-04-11 18:23:16,25.4,MainPumpP1
Temperature,2024-04-11 18:26:16,25.4,MainPumpP1
Temperature,2024-04-11 18:29:16,25.4,MainPumpP1
Temperature,2024-04-11 18:32:16,25.4,MainPumpP1
Temperature,2024-04-11 18:35:16,25.4,MainPumpP1
Temperature,2024-04-11 18:38:16,25.4,MainPumpP1
Temperature,2024-04-11 18:41:16,25.4,MainPumpP1
Temperature,2024-04-11 18:44:16,25.4,MainPumpP1
Temperature,2024-04-11 18:47:16,25.4,MainPumpP1
Temperature,2024-04-11 18:50:16,25.4,MainPumpP1
AccelerationY,2024-04-11 18:53:16,0.8,MainPumpP1
AccelerationX,2024-04-11 18:53:16,0.3,MainPumpP1
AccelerationZ,2024-04-11 18:53:16,0.4,MainPumpP1
Temperature,2024-04-11 18:53:16,25.4,MainPumpP1
Temperature,2024-04-11 18:56:16,25.4,MainPumpP1
Temperature,2024-04-11 18:59:16,25.4,MainPumpP1
Temperature,2024-04-11 19:02:16,25.4,MainPumpP1
Temperature,2024-04-11 19:05:16,25.4,MainPumpP1
Temperature,2024-04-11 19:08:16,25.5,MainPumpP1
Temperature,2024-04-11 19:11:16,25.5,MainPumpP1
Temperature,2024-04-11 19:14:16,25.5,MainPumpP1
Temperature,2024-04-11 19:17:16,25.6,MainPumpP1
Temperature,2024-04-11 19:20:16,25.6,MainPumpP1
Temperature,2024-04-11 19:23:16,25.6,MainPumpP1
Temperature,2024-04-11 19:26:16,25.6,MainPumpP1
Temperature,2024-04-11 19:29:16,25.6,MainPumpP1
Temperature,2024-04-11 19:32:16,25.6,MainPumpP1
Temperature,2024-04-11 19:35:16,25.6,MainPumpP1
Temperature,2024-04-11 19:38:16,25.6,MainPumpP1
Temperature,2024-04-11 19:41:16,25.6,MainPumpP1
Temperature,2024-04-11 19:44:16,25.5,MainPumpP1
Temperature,2024-04-11 19:47:16,25.5,MainPumpP1
Temperature,2024-04-11 19:50:16,25.5,MainPumpP1
Temperature,2024-04-11 19:53:16,25.5,MainPumpP1
Temperature,2024-04-11 19:56:16,25.5,MainPumpP1
Temperature,2024-04-11 19:59:16,25.5,MainPumpP1
Temperature,2024-04-11 20:02:16,25.5,MainPumpP1
Temperature,2024-04-11 20:05:16,25.4,MainPumpP1
Temperature,2024-04-11 20:08:16,25.4,MainPumpP1
Temperature,2024-04-11 20:11:16,25.4,MainPumpP1
Temperature,2024-04-11 20:14:16,25.4,MainPumpP1
Temperature,2024-04-11 20:17:16,25.4,MainPumpP1
Temperature,2024-04-11 20:20:16,25.4,MainPumpP1
Temperature,2024-04-11 20:23:16,25.4,MainPumpP1
Temperature,2024-04-11 20:26:16,25.3,MainPumpP1
Temperature,2024-04-11 20:29:16,25.3,MainPumpP1
Temperature,2024-04-11 20:32:16,25.3,MainPumpP1
Temperature,2024-04-11 20:35:16,25.3,MainPumpP1
Temperature,2024-04-11 20:38:16,25.3,MainPumpP1
Temperature,2024-04-11 20:41:16,25.2,MainPumpP1
Temperature,2024-04-11 20:44:16,25.2,MainPumpP1
Temperature,2024-04-11 20:47:16,25.2,MainPumpP1
Temperature,2024-04-11 20:50:16,25.2,MainPumpP1
Temperature,2024-04-11 20:53:16,25.2,MainPumpP1
Temperature,2024-04-11 20:56:16,25.1,MainPumpP1
Temperature,2024-04-11 20:59:16,25.1,MainPumpP1
Temperature,2024-04-11 21:02:16,25.1,MainPumpP1
Temperature,2024-04-11 21:05:16,25.1,MainPumpP1
Temperature,2024-04-11 21:08:16,25.1,MainPumpP1
Temperature,2024-04-11 21:11:16,25.1,MainPumpP1
Temperature,2024-04-11 21:14:16,25.0,MainPumpP1
Temperature,2024-04-11 21:17:16,25.0,MainPumpP1
Temperature,2024-04-11 21:20:16,25.0,MainPumpP1
Temperature,2024-04-11 21:23:16,25.0,MainPumpP1
Temperature,2024-04-11 21:26:16,25.0,MainPumpP1
Temperature,2024-04-11 21:29:16,25.0,MainPumpP1
Temperature,2024-04-11 21:32:16,25.0,MainPumpP1
Temperature,2024-04-11 21:35:16,24.9,MainPumpP1
Temperature,2024-04-11 21:38:16,24.9,MainPumpP1
Temperature,2024-04-11 21:41:16,24.9,MainPumpP1
Temperature,2024-04-11 21:44:16,24.9,MainPumpP1
