"data","pbr"
"2010-01-04",48.7000007629395
"2010-01-05",48.2000007629395
"2010-01-06",48.9099998474121
"2010-01-07",48.2000007629395
"2010-01-08",48.4599990844727
"2010-01-11",48.0999984741211
"2010-01-12",47.0699996948242
"2010-01-13",46.4000015258789
"2010-01-14",45.1399993896484
"2010-01-15",45.3699989318848
"2010-01-19",46.1300010681152
"2010-01-20",44.6300010681152
"2010-01-21",42.5800018310547
"2010-01-22",42.0400009155273
"2010-01-25",41.2200012207031
"2010-01-26",40.7299995422363
"2010-01-27",41.2700004577637
"2010-01-28",41.4799995422363
"2010-01-29",40.5699996948242
"2010-02-01",41.7400016784668
"2010-02-02",41.9700012207031
"2010-02-03",41.4000015258789
"2010-02-04",38.8300018310547
"2010-02-05",38.7799987792969
"2010-02-08",38.2000007629395
"2010-02-09",39.5400009155273
"2010-02-10",39.7599983215332
"2010-02-11",40.6500015258789
"2010-02-12",40.8800010681152
"2010-02-16",41.6199989318848
"2010-02-17",41.7099990844727
"2010-02-18",42.5400009155273
"2010-02-19",42.5999984741211
"2010-02-22",42.5699996948242
"2010-02-23",41.8300018310547
"2010-02-24",41.5800018310547
"2010-02-25",41.8600006103516
"2010-02-26",42.6500015258789
"2010-03-01",43.3499984741211
"2010-03-02",44.0400009155273
"2010-03-03",44.0400009155273
"2010-03-04",43.8600006103516
"2010-03-05",44.9500007629395
"2010-03-08",44.7599983215332
"2010-03-09",45.7799987792969
"2010-03-10",46.560001373291
"2010-03-11",46.7599983215332
"2010-03-12",47.0999984741211
"2010-03-15",46.6300010681152
"2010-03-16",47.0099983215332
"2010-03-17",46.8499984741211
"2010-03-18",46.2299995422363
"2010-03-19",45.4300003051758
"2010-03-22",44.9700012207031
"2010-03-23",45.0800018310547
"2010-03-24",44.8899993896484
"2010-03-25",43.5999984741211
"2010-03-26",43.1100006103516
"2010-03-29",43.9900016784668
"2010-03-30",43.9799995422363
"2010-03-31",44.5
"2010-04-01",45.3800010681152
"2010-04-05",45.9099998474121
"2010-04-06",46.3499984741211
"2010-04-07",45.5499992370605
"2010-04-08",45.4099998474121
"2010-04-09",45.2200012207031
"2010-04-12",44.0699996948242
"2010-04-13",43.75
"2010-04-14",44.189998626709
"2010-04-15",43.4000015258789
"2010-04-16",42.2799987792969
"2010-04-19",42.8800010681152
"2010-04-20",44.0099983215332
"2010-04-21",43.4900016784668
"2010-04-22",43.4500007629395
"2010-04-23",43.5900001525879
"2010-04-26",43.1599998474121
"2010-04-27",41.2400016784668
"2010-04-28",41.7099990844727
"2010-04-29",42.6599998474121
"2010-04-30",42.4000015258789
"2010-05-03",41
"2010-05-05",38.4099998474121
"2010-05-06",37.060001373291
"2010-05-07",36.4900016784668
"2010-05-10",38.6699981689453
"2010-05-11",37.8699989318848
"2010-05-12",38.1800003051758
"2010-05-13",38
"2010-05-14",37.6500015258789
"2010-05-17",37.0499992370605
"2010-05-18",36.3199996948242
"2010-05-19",35.2599983215332
"2010-05-20",33.4000015258789
"2010-05-21",34.2999992370605
"2010-05-24",33.1399993896484
"2010-05-25",32.8800010681152
"2010-05-26",33.560001373291
"2010-05-27",35.5099983215332
"2010-05-28",35.6199989318848
"2010-06-01",35.6300010681152
"2010-06-02",36.7999992370605
"2010-06-03",36.8899993896484
"2010-06-04",36.060001373291
"2010-06-07",36.0999984741211
"2010-06-08",37.0999984741211
"2010-06-09",37.560001373291
"2010-06-10",38.5699996948242
"2010-06-11",38.3199996948242
"2010-06-14",37.2099990844727
"2010-06-15",37.9199981689453
"2010-06-16",38.5299987792969
"2010-06-17",38.2400016784668
"2010-06-18",38.2900009155273
"2010-06-21",38.6599998474121
"2010-06-22",37.2599983215332
"2010-06-23",36.4700012207031
"2010-06-24",35.4099998474121
"2010-06-25",36.1100006103516
"2010-06-28",35.3400001525879
"2010-06-29",34.2000007629395
"2010-06-30",34.3199996948242
"2010-07-01",33.6300010681152
"2010-07-02",34.1199989318848
"2010-07-06",34.4599990844727
"2010-07-07",35.7700004577637
"2010-07-08",36.1199989318848
"2010-07-09",36.3699989318848
"2010-07-12",35.75
"2010-07-13",35.5999984741211
"2010-07-14",35.6199989318848
"2010-07-16",34.5099983215332
"2010-07-19",34.5999984741211
"2010-07-20",36.0299987792969
"2010-07-21",35.4599990844727
"2010-07-22",36.2799987792969
"2010-07-23",36.2900009155273
"2010-07-26",36.2900009155273
"2010-07-27",36.189998626709
"2010-07-28",35.6199989318848
"2010-07-29",35.6199989318848
"2010-07-30",36.4000015258789
"2010-08-02",37.4500007629395
"2010-08-03",38.1800003051758
"2010-08-04",38.6500015258789
"2010-08-05",38.6800003051758
"2010-08-06",38.3300018310547
"2010-08-09",38.0999984741211
"2010-08-10",37.5900001525879
"2010-08-11",35.8300018310547
"2010-08-12",35.7299995422363
"2010-08-13",35.8699989318848
"2010-08-16",36.1500015258789
"2010-08-17",36.6800003051758
"2010-08-18",35.939998626709
"2010-08-19",34.5400009155273
"2010-08-20",34.4199981689453
"2010-08-23",34.0299987792969
"2010-08-24",33.5200004577637
"2010-08-25",33.4099998474121
"2010-08-26",33.0999984741211
"2010-08-27",33.7900009155273
"2010-08-30",32.810001373291
"2010-08-31",33.3499984741211
"2010-09-01",35.0699996948242
"2010-09-02",35.9900016784668
"2010-09-03",37.4799995422363
"2010-09-07",36.439998626709
"2010-09-08",36.5400009155273
"2010-09-09",36.060001373291
"2010-09-10",35.8400001525879
"2010-09-13",36.4199981689453
"2010-09-14",35.2599983215332
"2010-09-15",35.0200004577637
"2010-09-16",35.2799987792969
