Dia,Temperatura
2024-04-15,57.801674
2024-04-16,57.595634
2024-04-17,57.7146
2024-04-18,57.703133
2024-04-19,57.427094
2024-04-20,57.55693
2024-04-21,57.620895
2024-04-22,57.263054
2024-04-23,57.38243
2024-04-24,57.55636
2024-04-25,57.10902
2024-04-26,57.184795
2024-04-27,57.509754
2024-04-28,56.972534
2024-04-29,56.957817
2024-04-30,57.4794
2024-05-01,56.8633
2024-05-02,56.6968
2024-05-03,57.46079
2024-05-04,56.79328
2024-05-05,56.400776
2024-05-06,57.44528
2024-05-07,56.776688
2024-05-08,56.075294
2024-05-09,57.41845
2024-05-10,56.829613
2024-05-11,55.73459
2024-05-12,57.358032
2024-05-13,56.969013
2024-05-14,55.40103
2024-05-15,57.231808
2024-05-16,57.210476
2024-05-17,55.10003
2024-05-18,56.996925
2024-05-19,57.564896
2024-05-20,54.851658
2024-05-21,56.60576
2024-05-22,58.03376
2024-05-23,54.66502
2024-05-24,56.03071
2024-05-25,58.602554
2024-05-26,54.541172
2024-05-27,55.320366
2024-05-28,59.233105
2024-05-29,54.481644
2024-05-30,54.644688
2024-05-31,59.86403
2024-06-01,54.487305
2024-06-02,54.2013
2024-06-03,60.432144
2024-06-04,54.546898
2024-06-05,54.03649
2024-06-06,60.901104
2024-06-07,54.64048
2024-06-08,54.054718
2024-06-09,61.267498
2024-06-10,54.75262
2024-06-11,54.1512
2024-06-12,61.547535
2024-06-13,54.876045
2024-06-14,54.26729
2024-06-15,61.763218
2024-06-16,55.008904
2024-06-17,54.380505
2024-06-18,61.934772
2024-06-19,55.152004
2024-06-20,54.486004
2024-06-21,62.07818
2024-06-22,55.307373
2024-06-23,54.585506
2024-06-24,62.205166
2024-06-25,55.47765
2024-06-26,54.682556
2024-06-27,62.32408
2024-06-28,55.66599
2024-06-29,54.78073
2024-06-30,62.44085
2024-07-01,55.876076
2024-07-02,54.883244
2024-07-03,62.55974
2024-07-04,56.112236
2024-07-05,54.992935
2024-07-06,62.683865
2024-07-07,56.379642
2024-07-08,55.11239
2024-07-09,62.815506
2024-07-10,56.684467
2024-07-11,55.24411
2024-07-12,62.95619
2024-07-13,57.034073
2024-07-14,55.390537
2024-07-15,63.106503
2024-07-16,57.437096
2024-07-17,55.554047
2024-07-18,63.26568
2024-07-19,57.90339
2024-07-20,55.73671
2024-07-21,63.43057
2024-07-22,58.4434
2024-07-23,55.93985
