MAE,MSE,RMSE,R²,Activation_Function,Nome_DF
0.5674583463142254,0.6692714115535514,0.8180900998994862,0.9961989877639063,relu,df_results_RNN80Sample
0.6577572390784515,0.8208453603032473,0.9060051657155423,0.995338149509164,tanh,df_results_RNN80Sample
0.5562089271779441,0.8046960413414974,0.8970485167155104,0.9954298667974248,sigmoid,df_results_RNN80Sample
0.567162010099259,0.7602554839919066,0.8719263065144363,0.9956822593236087,linear,df_results_RNN80Sample
46.51975568539983,2332.2982023039694,48.29387334128388,-12.245887770103101,relu,df_results_LSTM80Sample
46.50741992336567,2331.208005351347,48.2825849075145,-12.23969618342371,tanh,df_results_LSTM80Sample
46.510206110361345,2331.563152917843,48.286262569366905,-12.241713183137978,sigmoid,df_results_LSTM80Sample
46.510894861343814,2331.515796755411,48.285772197982,-12.241444231932606,linear,df_results_LSTM80Sample
0.3981132766886299,0.20549885345866756,0.4533198136621292,0.9675715936682637,relu,df_results_LSTM_3Targ
0.4490100587771216,0.24167506909090056,0.49160458611662744,0.9665638588902336,tanh,df_results_LSTM_3Targ
0.7624451235906011,0.6009381443501607,0.7752020022872494,0.6393289453547711,sigmoid,df_results_LSTM_3Targ
0.38546397280765665,0.18451576972568134,0.4295529882630097,0.9675033969602866,linear,df_results_LSTM_3Targ
