Bomba,Modelo,Shapiro-Wilk Statistic,Shapiro-Wilk p-value,Kolmogorov-Smirnov Statistic,Kolmogorov-Smirnov p-value,Durbin-Watson,Lagrange Multiplier Statistic,Breusch-Pagan p-value,Breusch-Pagan f-value,Breusch-Pagan f-p-value
MainPumpP1,GRU,0.9243470235340429,5.360878720007721e-28,0.2864905784185401,5.2529503005260734e-120,1.233212901670361,96.9237020489401,4.44176811591806e-20,34.247191234011325,1.817592524289265e-21
MainPumpP1,LSTM,0.9033862486213212,4.982494132507522e-31,0.21273095499947636,8.321064164530552e-66,0.6741170189651615,364.8624075717095,1.0829492004956404e-77,155.90491063006957,6.661289987491002e-89
MainPumpP1,SVR_Ajus,0.91254366377687,8.948899484938484e-30,0.14352772222966292,4.929618834346602e-30,1.5893162167036405,260.2113385688149,4.1062674960232186e-55,102.78507194739538,5.645610146901511e-61
MainPumpP2,GRU,0.8486607980554048,5.080059724909414e-37,0.24110322471580925,1.188521667893369e-84,1.2184897540969684,489.0386122899097,1.5728969507880056e-104,231.41267845675603,3.3711835638060263e-125
MainPumpP2,LSTM,0.8724874283680841,1.1435754726229508e-34,0.2946709100878635,4.491450895260668e-127,1.2863725523097775,692.873598659181,1.2169858774712862e-148,398.058343863638,2.999870231831145e-194
MainPumpP2,SVR_Ajus,0.8352334451579068,3.225413011750807e-38,0.274637872016651,3.809982544842344e-110,1.414977684129135,240.58629916236708,6.937215719455434e-51,93.70508530593536,5.6150298984294115e-56
