y_true,y_pred_lstm,y_pred_gru,y_pred_svr
34.0,34.38732,34.84881,34.757310387636146
34.0,33.41716,33.772434,33.74988259415097
33.0,33.858185,34.308624,34.32310600781657
32.0,32.49506,32.76693,33.45087555600503
32.0,31.479816,31.718489,32.598200427196936
32.0,31.92277,32.30363,33.162322337949234
30.999999999999996,31.979464,32.29434,33.211709997874095
30.999999999999996,30.544243,30.717564,32.05756442704631
30.0,30.920912,31.242832,32.376712901448585
30.0,29.54521,29.762867,31.067083004063445
30.0,29.899284,30.214521,31.469369140962158
29.0,29.993364,30.272772,31.502915661530295
29.0,28.542763,28.702972,30.233141927090212
29.0,28.890821,29.200686,30.521569520948912
29.0,28.990768,29.25431,30.571309462789326
28.000000000000004,28.986692,29.206448,30.46608458429192
28.000000000000004,27.499783,27.695196,29.30198793705814
28.000000000000004,27.803944,28.176434,29.528372338032874
28.000000000000004,27.898376,28.229109,29.47260657326391
28.000000000000004,27.901981,28.184525,29.47000669403246
28.000000000000004,27.914305,28.190397,29.38645287597305
28.000000000000004,27.916412,28.191914,29.54238262916782
28.000000000000004,27.916351,28.190773,29.442695768479783
28.000000000000004,27.912212,28.190666,29.43335569598541
28.000000000000004,27.9096,28.190645,29.39118547158693
27.0,27.90988,28.190575,29.476507659590023
27.0,26.415594,26.677835,28.27670212533675
27.0,26.716036,27.1453,28.47019391351373
27.0,26.84338,27.20118,28.384197312269276
27.0,26.878311,27.158695,28.3646889441303
27.0,26.905344,27.163782,28.34111459578575
27.0,26.914867,27.165352,28.44127900017418
27.0,26.915184,27.164293,28.321167269042625
26.0,26.91119,27.164165,28.30204628152096
26.0,25.394403,25.656237,27.12429234264126
26.0,25.692822,26.111927,27.36933582214883
26.0,25.834074,26.169514,27.26941189584855
26.0,25.871416,26.12899,27.244892102842652
26.0,25.90023,26.133326,27.236657756752823
26.0,25.910883,26.134857,27.352042090038893
26.0,25.911856,26.133877,27.222186778632015
26.0,25.90831,26.133728,27.20469367429402
26.0,25.903057,26.133694,27.188454304933263
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
26.0,25.899195,26.133644,27.2717080904332
