GRU,SVM,LSTM,SVR_Ajus
residuos,residuos,residuos,residuos
-1.7171173095703125,-0.1591856458655911,-1.7531967163085938,-0.1591856458655911
-1.5801010131835938,-0.2060815167133114,-1.6079483032226562,-0.2060815167133114
-2.579864501953125,-1.396794592730075,-2.6404266357421875,-1.396794592730075
-1.8022384643554688,-0.0703454016202158,-1.7854843139648438,-0.0703454016202158
-1.6692581176757812,-0.1324591476286514,-1.6351852416992188,-0.1324591476286514
-1.6738204956054688,-0.3828858459638269,-1.6619186401367188,-0.3828858459638269
-1.7005462646484375,-0.3862387173301584,-1.6658859252929688,-0.3862387173301584
-1.7286529541015625,-0.3922929602536555,-1.6692428588867188,-0.3922929602536555
-1.7582321166992188,-0.4011088835616334,-1.6719741821289062,-0.4011088835616334
-0.7893295288085938,0.5873669507169126,-0.6740646362304688,0.5873669507169126
-1.6105728149414062,-0.7365906434884977,-1.5297012329101562,-0.7365906434884977
-1.742828369140625,-0.7323998587072111,-1.6918411254882812,-0.7323998587072111
-1.7260360717773438,-0.4427224589454539,-1.6762924194335938,-0.4427224589454539
-0.689544677734375,0.5396881515044498,-0.6763992309570312,0.5396881515044498
-1.5105361938476562,-0.763311832553839,-1.526641845703125,-0.763311832553839
-0.6334075927734375,0.2069881334444119,-0.6889724731445312,0.2069881334444119
-1.4752655029296875,-0.7712807217725839,-1.5242462158203125,-0.7712807217725839
-0.5995712280273438,0.1883222037122465,-0.6866073608398438,0.1883222037122465
-0.441375732421875,0.2221125479799894,-0.5211410522460938,0.2221125479799894
-1.420440673828125,-1.0969655949153465,-1.5330123901367188,-1.0969655949153465
-0.5672149658203125,0.1713164960137874,-0.6835479736328125,0.1713164960137874
-0.408966064453125,0.2171737168904712,-0.5173263549804688,0.2171737168904712
-0.3880157470703125,-0.0998513781074024,-0.5280990600585938,-0.0998513781074024
-1.3880157470703125,-1.0998513781074024,-1.5280990600585938,-1.0998513781074024
-0.5364303588867188,0.1561614904656494,-0.67974853515625,0.1561614904656494
-0.3781585693359375,0.2139182287324672,-0.5128021240234375,0.2139182287324672
-0.3572006225585937,-0.0998638851282009,-0.5224838256835938,-0.0998638851282009
-1.3572006225585938,-1.099863885128201,-1.5224838256835938,-1.099863885128201
-0.5073318481445312,0.1427051984438634,-0.6752395629882812,0.1427051984438634
-0.3490447998046875,0.2120128258682285,-0.5075607299804688,0.2120128258682285
-0.3280715942382812,-0.0974630399121281,-0.5161361694335938,-0.0974630399121281
-1.3280715942382812,-1.097463039912128,-1.5161361694335938,-1.097463039912128
-0.4800453186035156,0.1304253645384747,-0.6700019836425781,0.1304253645384747
-0.3217430114746094,0.2107649265678333,-0.5015983581542969,0.2107649265678333
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-1.3007431030273438,-1.0934648324382934,-1.509075164794922,-1.0934648324382934
-0.4546585083007812,0.1184553315279401,-0.6640625,0.1184553315279401
-0.2963600158691406,0.2091673557749089,-0.4949378967285156,0.2091673557749089
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013008117675781,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013008117675781,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013008117675781,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013008117675781,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
0.7246475219726562,0.9110230629988294,0.4986915588378906,0.9110230629988294
-0.1214561462402343,-0.3116010251400283,-0.3472709655761719,-0.3116010251400283
-0.279754638671875,-0.4084663750661121,-0.5164947509765625,-0.4084663750661121
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-1.3007431030273438,-1.0934648324382934,-1.509075164794922,-1.0934648324382934
-0.4546585083007812,0.1184553315279401,-0.6640625,0.1184553315279401
-0.2963600158691406,0.2091673557749089,-0.4949378967285156,0.2091673557749089
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
-0.2753524780273437,-0.0889769370011706,-0.5013084411621094,-0.0889769370011706
0.7246475219726562,0.9110230629988294,0.4986915588378906,0.9110230629988294
-0.1214561462402343,-0.3116010251400283,-0.3472709655761719,-0.3116010251400283
-0.279754638671875,-0.4084663750661121,-0.5164947509765625,-0.4084663750661121
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007469177246094,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007469177246094,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
-0.3007431030273437,-0.0934648324382934,-0.5090751647949219,-0.0934648324382934
