Parametro,Value,NmeComp
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
AccelerationX,0.2,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationY,0.2,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
AccelerationX,0.6,MainPumpP1
AccelerationY,0.4,MainPumpP1
AccelerationZ,0.5,MainPumpP1
Temperature,24.4,MainPumpP1
Temperature,25.2,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationX,0.6,MainPumpP1
AccelerationY,0.4,MainPumpP1
AccelerationX,0.6,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationY,0.4,MainPumpP1
Temperature,25.4,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationY,0.4,MainPumpP1
AccelerationX,0.6,MainPumpP1
Temperature,26.2,MainPumpP1
Temperature,27.0,MainPumpP1
Temperature,27.7,MainPumpP1
AccelerationZ,0.1,MainPumpP1
Temperature,28.0,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.2,MainPumpP1
Temperature,28.2,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.4,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationY,0.4,MainPumpP1
AccelerationZ,0.4,MainPumpP1
Temperature,28.7,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.4,MainPumpP1
Temperature,29.6,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,30.3,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationZ,0.2,MainPumpP1
Temperature,31.7,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,32.8,MainPumpP1
AccelerationX,0.3,MainPumpP1
AccelerationZ,0.2,MainPumpP1
Temperature,33.7,MainPumpP1
Temperature,34.9,MainPumpP1
Temperature,35.4,MainPumpP1
Temperature,35.3,MainPumpP1
Temperature,34.8,MainPumpP1
Temperature,34.5,MainPumpP1
Temperature,33.9,MainPumpP1
Temperature,33.5,MainPumpP1
Temperature,33.0,MainPumpP1
Temperature,32.5,MainPumpP1
Temperature,32.0,MainPumpP1
Temperature,31.5,MainPumpP1
Temperature,31.2,MainPumpP1
Temperature,30.7,MainPumpP1
Temperature,30.3,MainPumpP1
Temperature,30.1,MainPumpP1
Temperature,29.8,MainPumpP1
Temperature,29.6,MainPumpP1
Temperature,29.2,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.5,MainPumpP1
Temperature,28.2,MainPumpP1
Temperature,27.9,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.3,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,27.5,MainPumpP1
AccelerationX,0.3,MainPumpP1
AccelerationY,0.2,MainPumpP1
AccelerationZ,0.2,MainPumpP1
Temperature,29.0,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationZ,0.3,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.6,MainPumpP1
Temperature,31.6,MainPumpP1
AccelerationZ,0.4,MainPumpP1
AccelerationX,0.5,MainPumpP1
AccelerationX,0.8,MainPumpP1
Temperature,36.8,MainPumpP1
AccelerationY,0.6,MainPumpP1
AccelerationZ,0.7,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,43.0,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationZ,1.8,MainPumpP1
AccelerationY,1.4,MainPumpP1
AccelerationX,1.2,MainPumpP1
Temperature,45.9,MainPumpP1
AccelerationX,1.0,MainPumpP1
Temperature,46.6,MainPumpP1
AccelerationZ,1.1,MainPumpP1
AccelerationY,0.8,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,48.5,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,49.2,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationZ,0.3,MainPumpP1
Temperature,48.9,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,48.4,MainPumpP1
