Data;Hora UTC;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
06/01/2024;0500 UTC;25;24,8
06/01/2024;0600 UTC;25;24,6
06/01/2024;0700 UTC;24,7;24,5
06/01/2024;0800 UTC;24,6;24,5
06/01/2024;0900 UTC;24,6;24,3
06/01/2024;1000 UTC;24,4;24,2
06/01/2024;1100 UTC;25;24,4
06/01/2024;1200 UTC;25,9;25
06/01/2024;1300 UTC;27,9;25,9
06/01/2024;1400 UTC;29,9;27,3
06/01/2024;1500 UTC;30,7;29,2
06/01/2024;1600 UTC;31;29,6
06/01/2024;1700 UTC;32,2;30,3
06/01/2024;1800 UTC;31,2;29,5
06/01/2024;1900 UTC;31,4;29,6
06/01/2024;2000 UTC;32,2;31,1
06/01/2024;2100 UTC;31,8;26,1
06/01/2024;2200 UTC;26,1;25,3
06/01/2024;2300 UTC;25,3;24,5
07/01/2024;0000 UTC;25,3;24,5
07/01/2024;0100 UTC;24,8;24,4
07/01/2024;0200 UTC;25,1;24,4
07/01/2024;0300 UTC;25,1;24,4
07/01/2024;0400 UTC;24,6;23,8
07/01/2024;0500 UTC;24,7;23,9
07/01/2024;0600 UTC;24,6;23,8
07/01/2024;0700 UTC;24,5;23,9
07/01/2024;0800 UTC;24,4;23,7
07/01/2024;0900 UTC;24,4;23,9
07/01/2024;1000 UTC;24,7;24,3
07/01/2024;1100 UTC;25,3;24,7
07/01/2024;1200 UTC;26,6;25,2
07/01/2024;1300 UTC;28,1;26,4
07/01/2024;1400 UTC;29,5;27,9
07/01/2024;1500 UTC;31,9;29
07/01/2024;1600 UTC;31,1;29,3
07/01/2024;1700 UTC;30,8;28,5
07/01/2024;1800 UTC;29,3;28
07/01/2024;1900 UTC;28,3;26,5
07/01/2024;2000 UTC;26,8;26
07/01/2024;2100 UTC;26,2;25,5
07/01/2024;2200 UTC;25,6;25,2
07/01/2024;2300 UTC;25,4;25,1
08/01/2024;0000 UTC;25,4;25,1
08/01/2024;0100 UTC;25,3;24,9
08/01/2024;0200 UTC;25,4;24,8
08/01/2024;0300 UTC;25;24,8
08/01/2024;0400 UTC;24,9;24,3
08/01/2024;0500 UTC;24,8;24,2
08/01/2024;0600 UTC;24,6;24,2
08/01/2024;0700 UTC;24,4;24,3
08/01/2024;0800 UTC;24,4;24
08/01/2024;0900 UTC;24,2;24,1
08/01/2024;1000 UTC;24,5;24,1
08/01/2024;1100 UTC;25,2;24,4
08/01/2024;1200 UTC;27;25,1
08/01/2024;1300 UTC;28,2;26,7
08/01/2024;1400 UTC;28,4;27,5
08/01/2024;1500 UTC;28,7;27,1
08/01/2024;1600 UTC;28;23,5
08/01/2024;1700 UTC;25,3;24,5
08/01/2024;1800 UTC;27,6;25,2
08/01/2024;1900 UTC;28,4;26,9
08/01/2024;2000 UTC;28,8;28
08/01/2024;2100 UTC;29;28,3
08/01/2024;2200 UTC;28,4;27,2
08/01/2024;2300 UTC;27,2;25,9
09/01/2024;0000 UTC;26;25
09/01/2024;0100 UTC;25,1;24,4
09/01/2024;0200 UTC;24,8;24,3
09/01/2024;0300 UTC;25,2;24,3
09/01/2024;0400 UTC;25,2;23,7
09/01/2024;0500 UTC;24,4;23,5
09/01/2024;0600 UTC;24,3;23,7
09/01/2024;0700 UTC;24,1;23,7
09/01/2024;0800 UTC;24,1;23,3
09/01/2024;0900 UTC;23,6;23,2
09/01/2024;1000 UTC;24,2;23
09/01/2024;1100 UTC;24,8;24,2
09/01/2024;1200 UTC;27;24,8
09/01/2024;1300 UTC;29,1;26,5
09/01/2024;1400 UTC;29,8;28
09/01/2024;1500 UTC;30,1;29,1
09/01/2024;1600 UTC;32;30
09/01/2024;1700 UTC;32,4;28,7
09/01/2024;1800 UTC;29,6;24,7
09/01/2024;1900 UTC;30;27,1
09/01/2024;2000 UTC;31,5;30
09/01/2024;2100 UTC;30,6;26,2
09/01/2024;2200 UTC;26,2;25,7
09/01/2024;2300 UTC;25,8;25,2
10/01/2024;0000 UTC;26,1;25,3
10/01/2024;0100 UTC;25,9;24,4
10/01/2024;0200 UTC;25,4;24,4
10/01/2024;0300 UTC;25,5;24,1
10/01/2024;0400 UTC;24,1;23,5
10/01/2024;0500 UTC;23,6;23,2
10/01/2024;0600 UTC;23,7;22,9
10/01/2024;0700 UTC;23,4;22,9
10/01/2024;0800 UTC;23,4;22,9
10/01/2024;0900 UTC;23,6;22,6
10/01/2024;1000 UTC;24,7;23,2
10/01/2024;1100 UTC;26,3;24,3
10/01/2024;1200 UTC;27,7;26,2
10/01/2024;1300 UTC;29,1;27,6
10/01/2024;1400 UTC;29,5;28,6
10/01/2024;1500 UTC;30,8;29,3
10/01/2024;1600 UTC;32,4;30
10/01/2024;1700 UTC;32,6;31,2
10/01/2024;1800 UTC;33,7;31,4
10/01/2024;1900 UTC;33,1;32,1
10/01/2024;2000 UTC;33;32,2
10/01/2024;2100 UTC;32,4;30,4
10/01/2024;2200 UTC;30,4;27,7
10/01/2024;2300 UTC;28;26,7
11/01/2024;0000 UTC;27,7;26,3
11/01/2024;0100 UTC;26,8;26,1
11/01/2024;0200 UTC;26,7;25,3
11/01/2024;0300 UTC;25,6;24,6
11/01/2024;0400 UTC;25,7;24
11/01/2024;0500 UTC;24,5;23,8
11/01/2024;0600 UTC;24,1;23,4
11/01/2024;0700 UTC;24,6;23,6
11/01/2024;0800 UTC;25;23,7
11/01/2024;0900 UTC;25,1;24,8
11/01/2024;1000 UTC;25,1;24,8
11/01/2024;1100 UTC;25,3;24,9
11/01/2024;1200 UTC;25,9;24,9
11/01/2024;1300 UTC;26,5;25,8
11/01/2024;1400 UTC;28,5;26,4
11/01/2024;1500 UTC;29,9;28,2
11/01/2024;1600 UTC;31,3;29,5
11/01/2024;1700 UTC;32,2;30,8
11/01/2024;1800 UTC;33;31,5
11/01/2024;1900 UTC;33,6;32,1
11/01/2024;2000 UTC;32,9;25,8
11/01/2024;2100 UTC;26,7;25,9
11/01/2024;2200 UTC;26,7;25,2
11/01/2024;2300 UTC;25,6;24,6
12/01/2024;0000 UTC;25;24,6
12/01/2024;0100 UTC;24,8;24,4
12/01/2024;0200 UTC;24,5;24,2
12/01/2024;0300 UTC;24,5;24,1
12/01/2024;0400 UTC;24,2;23,5
12/01/2024;0500 UTC;23,7;23,4
12/01/2024;0600 UTC;23,5;23,3
12/01/2024;0700 UTC;23,5;23,3
12/01/2024;0800 UTC;23,6;23,3
12/01/2024;0900 UTC;23,5;23,2
12/01/2024;1000 UTC;24;23,2
12/01/2024;1100 UTC;24,1;23,5
12/01/2024;1200 UTC;25,6;24,1
12/01/2024;1300 UTC;27,2;25,3
12/01/2024;1400 UTC;29,7;27,2
12/01/2024;1500 UTC;30,1;29,1
12/01/2024;1600 UTC;29,8;28,8
12/01/2024;1700 UTC;29,8;28,4
12/01/2024;1800 UTC;28,9;28
12/01/2024;1900 UTC;30,3;28,5
12/01/2024;2000 UTC;30,3;28,4
12/01/2024;2100 UTC;28,9;28,2
12/01/2024;2200 UTC;28,4;26,2
12/01/2024;2300 UTC;26,6;24,9
13/01/2024;0000 UTC;25,4;24,7
13/01/2024;0100 UTC;25,2;24,3
13/01/2024;0200 UTC;25,1;24,2
13/01/2024;0300 UTC;24,6;23,8
13/01/2024;0400 UTC;24,5;23,4
13/01/2024;0500 UTC;23,9;23
13/01/2024;0600 UTC;23,9;23
13/01/2024;0700 UTC;23,2;22,5
13/01/2024;0800 UTC;23,8;22,7
13/01/2024;0900 UTC;23,8;23,4
13/01/2024;1000 UTC;24;23,3
13/01/2024;1100 UTC;25,8;24
13/01/2024;1200 UTC;27,6;25,7
13/01/2024;1300 UTC;28,9;27
13/01/2024;1400 UTC;30,1;27,7
13/01/2024;1500 UTC;31,4;29,6
13/01/2024;1600 UTC;31,4;30,2
13/01/2024;1700 UTC;32,4;30,2
13/01/2024;1800 UTC;32,4;31,1
13/01/2024;1900 UTC;32,5;30,9
13/01/2024;2000 UTC;31;29,9
13/01/2024;2100 UTC;30,1;28,7
13/01/2024;2200 UTC;28,7;27,2
13/01/2024;2300 UTC;27,2;26,2
14/01/2024;0000 UTC;26,2;25,9
14/01/2024;0100 UTC;26,2;24,6
14/01/2024;0200 UTC;25,5;24,8
14/01/2024;0300 UTC;24,8;24,2
14/01/2024;0400 UTC;24,3;24,1
14/01/2024;0500 UTC;24,7;23,7
14/01/2024;0600 UTC;23,7;23,2
14/01/2024;0700 UTC;23,6;22,9
14/01/2024;0800 UTC;24,1;23
14/01/2024;0900 UTC;23,6;23
14/01/2024;1000 UTC;23,5;22,2
14/01/2024;1100 UTC;24,7;22,8
14/01/2024;1200 UTC;26,9;24,6
14/01/2024;1300 UTC;28,4;26,7
14/01/2024;1400 UTC;29,1;28
14/01/2024;1500 UTC;30,7;28,7
14/01/2024;1600 UTC;31,3;29,2
14/01/2024;1700 UTC;32,1;30,3
14/01/2024;1800 UTC;32,5;30,9
14/01/2024;1900 UTC;32,7;30,9
14/01/2024;2000 UTC;32;30,7
14/01/2024;2100 UTC;31,9;30,1
14/01/2024;2200 UTC;30,1;27,2
14/01/2024;2300 UTC;27,5;26,3
15/01/2024;0000 UTC;26,7;25,4
15/01/2024;0100 UTC;26;25,1
15/01/2024;0200 UTC;26,6;25,4
15/01/2024;0300 UTC;26,4;24,2
15/01/2024;0400 UTC;24,5;23,9
15/01/2024;0500 UTC;24,2;23,5
15/01/2024;0600 UTC;24,4;23,3
15/01/2024;0700 UTC;24,1;22,8
15/01/2024;0800 UTC;24,7;22,8
15/01/2024;0900 UTC;24,8;23,8
15/01/2024;1000 UTC;24,5;23,8
15/01/2024;1100 UTC;26;24,3
15/01/2024;1200 UTC;27,8;25,9
15/01/2024;1300 UTC;29,6;27,9
15/01/2024;1400 UTC;30,5;29,2
15/01/2024;1500 UTC;31,5;29,8
15/01/2024;1600 UTC;32,5;30,5
15/01/2024;1700 UTC;32;31
15/01/2024;1800 UTC;32,6;30,8
15/01/2024;1900 UTC;33;31,1
15/01/2024;2000 UTC;32,6;29,3
15/01/2024;2100 UTC;31;29,8
15/01/2024;2200 UTC;29,9;29,1
15/01/2024;2300 UTC;29,2;28,2
16/01/2024;0000 UTC;28,2;26,3
16/01/2024;0100 UTC;28,6;26,6
16/01/2024;0200 UTC;27,9;26,8
16/01/2024;0300 UTC;27,4;26,8
16/01/2024;0400 UTC;27,1;24,3
16/01/2024;0500 UTC;24,3;23,2
16/01/2024;0600 UTC;23,5;22,5
16/01/2024;0700 UTC;23,1;22,5
16/01/2024;0800 UTC;23,3;22,5
16/01/2024;0900 UTC;23,3;22,8
16/01/2024;1000 UTC;23,2;22,7
16/01/2024;1100 UTC;23,7;23
16/01/2024;1200 UTC;25,2;23,7
16/01/2024;1300 UTC;27,6;25,1
16/01/2024;1400 UTC;29,8;27,3
16/01/2024;1500 UTC;30,8;29,4
16/01/2024;1600 UTC;32,3;30,5
16/01/2024;1700 UTC;32,8;30,9
16/01/2024;1800 UTC;33,5;31,5
