Data;Hora UTC;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
17/01/2023;0300 UTC;23,2;22,8
17/01/2023;0400 UTC;23;22,7
17/01/2023;0500 UTC;22,7;22,5
17/01/2023;0600 UTC;22,6;22,4
17/01/2023;0700 UTC;22,4;22,2
17/01/2023;0800 UTC;22,3;22,1
17/01/2023;0900 UTC;22,1;22
17/01/2023;1000 UTC;22,4;22
17/01/2023;1100 UTC;23,9;22,4
17/01/2023;1200 UTC;25,7;23,9
17/01/2023;1300 UTC;27,3;25,5
17/01/2023;1400 UTC;28,2;26,2
17/01/2023;1500 UTC;28,9;27,4
17/01/2023;1600 UTC;29,8;28,4
17/01/2023;1700 UTC;29,9;29,1
17/01/2023;1800 UTC;30,5;28,9
17/01/2023;1900 UTC;30,6;28,8
17/01/2023;2000 UTC;30,7;28,8
17/01/2023;2100 UTC;28,9;27,4
17/01/2023;2200 UTC;27,4;25,3
17/01/2023;2300 UTC;25,6;24,2
18/01/2023;0000 UTC;24,2;23,5
18/01/2023;0100 UTC;23,5;22,6
18/01/2023;0200 UTC;22,6;22,2
18/01/2023;0300 UTC;22,2;22,1
18/01/2023;0400 UTC;22,4;22,1
18/01/2023;0500 UTC;22,5;22,1
18/01/2023;0600 UTC;22,5;22
18/01/2023;0700 UTC;22,6;22
18/01/2023;0800 UTC;22,3;22,1
18/01/2023;0900 UTC;22,3;22,1
18/01/2023;1000 UTC;22,5;22,1
18/01/2023;1100 UTC;24,1;22,5
18/01/2023;1200 UTC;24,2;23,7
18/01/2023;1300 UTC;24,9;24,1
18/01/2023;1400 UTC;25,9;23,1
18/01/2023;1500 UTC;25;23,4
18/01/2023;1600 UTC;26,4;24,5
18/01/2023;1700 UTC;27,1;25,8
18/01/2023;1800 UTC;26,3;25,3
18/01/2023;1900 UTC;27,1;25,9
18/01/2023;2000 UTC;27,2;26
18/01/2023;2100 UTC;26;24,9
18/01/2023;2200 UTC;24,9;23,8
18/01/2023;2300 UTC;23,8;23,1
19/01/2023;0000 UTC;23,2;22,7
19/01/2023;0100 UTC;22,8;22,7
19/01/2023;0200 UTC;23;22,7
19/01/2023;0300 UTC;23,5;22,8
19/01/2023;0400 UTC;22,9;22,6
19/01/2023;0500 UTC;22,7;22,5
19/01/2023;0600 UTC;22,6;22,3
19/01/2023;0700 UTC;22,3;21,7
19/01/2023;0800 UTC;22,2;21,8
19/01/2023;0900 UTC;22,5;22,2
19/01/2023;1000 UTC;22,8;22,4
19/01/2023;1100 UTC;23,5;22,8
19/01/2023;1200 UTC;25,4;23,5
19/01/2023;1300 UTC;26,2;24,7
19/01/2023;1400 UTC;27,5;25,6
19/01/2023;1500 UTC;28,5;26,8
19/01/2023;1600 UTC;29,3;27,5
19/01/2023;1700 UTC;29,8;27,7
19/01/2023;1800 UTC;29,5;28,3
19/01/2023;1900 UTC;29,2;26,7
19/01/2023;2000 UTC;29,1;24,2
19/01/2023;2100 UTC;24,9;23,9
19/01/2023;2200 UTC;23,9;22,5
19/01/2023;2300 UTC;22,6;22,3
20/01/2023;0000 UTC;22,5;22,3
20/01/2023;0100 UTC;23,3;22,4
20/01/2023;0200 UTC;22,6;22,4
20/01/2023;0300 UTC;22,8;22,4
20/01/2023;0400 UTC;22,5;22,1
20/01/2023;0500 UTC;22,6;21,9
20/01/2023;0600 UTC;22;21,4
20/01/2023;0700 UTC;21,7;21,2
20/01/2023;0800 UTC;21,2;20,7
20/01/2023;0900 UTC;21,3;20,4
20/01/2023;1000 UTC;20,9;20,2
20/01/2023;1100 UTC;23,4;20,8
20/01/2023;1200 UTC;24,8;23,3
20/01/2023;1300 UTC;26,3;24,6
20/01/2023;1400 UTC;27,3;25,6
20/01/2023;1500 UTC;28,7;26,8
20/01/2023;1600 UTC;30,3;27,8
20/01/2023;1700 UTC;30,5;28,8
20/01/2023;1800 UTC;31,1;29,4
20/01/2023;1900 UTC;31,5;29,8
20/01/2023;2000 UTC;31,1;29,8
20/01/2023;2100 UTC;30,4;28,1
20/01/2023;2200 UTC;28;25,5
20/01/2023;2300 UTC;26,3;25,3
21/01/2023;0000 UTC;26,2;24,7
21/01/2023;0100 UTC;25,9;23,7
21/01/2023;0200 UTC;23,7;22,3
21/01/2023;0300 UTC;22,3;21,6
21/01/2023;0400 UTC;21,6;21,4
21/01/2023;0500 UTC;21,7;21,4
21/01/2023;0600 UTC;22,2;21,7
21/01/2023;0700 UTC;22;21,7
21/01/2023;0800 UTC;21,9;21,2
21/01/2023;0900 UTC;21,4;20,9
21/01/2023;1000 UTC;21,4;20,9
21/01/2023;1100 UTC;24,5;21,4
21/01/2023;1200 UTC;25,9;24,4
21/01/2023;1300 UTC;28,1;25,6
21/01/2023;1400 UTC;30;27,7
21/01/2023;1500 UTC;30,6;28,8
21/01/2023;1600 UTC;30,5;28,7
21/01/2023;1700 UTC;32;29,2
21/01/2023;1800 UTC;32,5;28
21/01/2023;1900 UTC;28,9;28,2
21/01/2023;2000 UTC;29;27
21/01/2023;2100 UTC;28,4;26,9
21/01/2023;2200 UTC;26,9;24,9
21/01/2023;2300 UTC;24,9;23,9
22/01/2023;0000 UTC;26,2;23,6
22/01/2023;0100 UTC;25,7;23,8
22/01/2023;0200 UTC;24,2;23,2
22/01/2023;0300 UTC;23,4;22,8
22/01/2023;0400 UTC;23,2;22,5
22/01/2023;0500 UTC;23,2;22,5
22/01/2023;0600 UTC;23;22,5
22/01/2023;0700 UTC;23,7;22,7
22/01/2023;0800 UTC;23,7;22,8
22/01/2023;0900 UTC;24,1;22,8
22/01/2023;1000 UTC;24,3;23,9
22/01/2023;1100 UTC;24;23,2
22/01/2023;1200 UTC;25,4;23,3
22/01/2023;1300 UTC;27,2;25,2
22/01/2023;1400 UTC;28,1;26,6
22/01/2023;1500 UTC;30,1;28
22/01/2023;1600 UTC;30,5;28,6
22/01/2023;1700 UTC;31;28,9
22/01/2023;1800 UTC;31,2;29,2
22/01/2023;1900 UTC;31,2;24,3
22/01/2023;2000 UTC;24,4;23,8
22/01/2023;2100 UTC;24,3;23,9
22/01/2023;2200 UTC;24,1;23,1
22/01/2023;2300 UTC;23,2;22,6
23/01/2023;0000 UTC;23,1;22,3
23/01/2023;0100 UTC;22,4;22
23/01/2023;0200 UTC;22,5;21,8
23/01/2023;0300 UTC;22,2;21,8
23/01/2023;0400 UTC;21,8;21,4
23/01/2023;0500 UTC;21,8;21,4
23/01/2023;0600 UTC;21,8;21,3
23/01/2023;0700 UTC;21,4;21,1
23/01/2023;0800 UTC;22;21,1
23/01/2023;0900 UTC;22,3;21,3
23/01/2023;1000 UTC;21,8;21,1
23/01/2023;1100 UTC;23,6;21,7
23/01/2023;1200 UTC;25,9;23,6
23/01/2023;1300 UTC;26,9;25
23/01/2023;1400 UTC;28,2;25,7
23/01/2023;1500 UTC;29,3;27,4
23/01/2023;1600 UTC;29,5;28,2
23/01/2023;1700 UTC;31,2;28,4
23/01/2023;1800 UTC;30,5;29,5
23/01/2023;1900 UTC;30,5;28,5
23/01/2023;2000 UTC;29;27,4
23/01/2023;2100 UTC;27,4;25,3
23/01/2023;2200 UTC;25,3;24,4
23/01/2023;2300 UTC;24,4;23,9
24/01/2023;0000 UTC;24;23,1
24/01/2023;0100 UTC;23,4;22,6
24/01/2023;0200 UTC;23,4;23
24/01/2023;0300 UTC;23,2;22,5
24/01/2023;0400 UTC;22,6;22,2
24/01/2023;0500 UTC;22,2;21,7
24/01/2023;0600 UTC;21,9;21,6
24/01/2023;0700 UTC;21,8;21,5
24/01/2023;0800 UTC;21,6;21,3
24/01/2023;0900 UTC;21,5;21,1
24/01/2023;1000 UTC;21,6;21,1
24/01/2023;1100 UTC;23,2;21,7
24/01/2023;1200 UTC;25,8;23,1
24/01/2023;1300 UTC;26;25,4
24/01/2023;1400 UTC;26;24,5
24/01/2023;1500 UTC;27,5;24,8
24/01/2023;1600 UTC;29,6;26,7
24/01/2023;1700 UTC;27,7;26
24/01/2023;1800 UTC;26;24,7
24/01/2023;1900 UTC;25,7;24,2
24/01/2023;2000 UTC;26;25,2
24/01/2023;2100 UTC;25,6;25,2
24/01/2023;2200 UTC;25,3;23,9
24/01/2023;2300 UTC;24,1;23,4
25/01/2023;0000 UTC;23,4;22,9
25/01/2023;0100 UTC;22,9;22,3
25/01/2023;0200 UTC;22,4;22,2
25/01/2023;0300 UTC;22,4;21,7
25/01/2023;0400 UTC;21,7;21,5
25/01/2023;0500 UTC;21,6;21,4
25/01/2023;0600 UTC;21,4;21
25/01/2023;0700 UTC;21,1;20,8
25/01/2023;0800 UTC;20,9;20,7
25/01/2023;0900 UTC;21,2;20,6
25/01/2023;1000 UTC;22,2;21,2
25/01/2023;1100 UTC;23,9;22,2
25/01/2023;1200 UTC;24,6;23,8
25/01/2023;1300 UTC;26,6;24,2
25/01/2023;1400 UTC;28,9;25,9
25/01/2023;1500 UTC;30;27,1
25/01/2023;1600 UTC;30,5;27,3
25/01/2023;1700 UTC;29,3;28,5
25/01/2023;1800 UTC;29,8;28,4
25/01/2023;1900 UTC;28,5;27,6
25/01/2023;2000 UTC;28;27,8
25/01/2023;2100 UTC;28,1;26,9
25/01/2023;2200 UTC;27;25,2
25/01/2023;2300 UTC;25,2;24,4
26/01/2023;0000 UTC;24,6;23,6
26/01/2023;0100 UTC;24;23,7
26/01/2023;0200 UTC;24,2;23,7
26/01/2023;0300 UTC;24,2;23,2
26/01/2023;0400 UTC;23,2;22,3
26/01/2023;0500 UTC;22,4;22
26/01/2023;0600 UTC;22,5;22
26/01/2023;0700 UTC;22,4;22,1
26/01/2023;0800 UTC;22,3;22,1
26/01/2023;0900 UTC;22,2;21,8
26/01/2023;1000 UTC;22;21,4
26/01/2023;1100 UTC;23,9;22
26/01/2023;1200 UTC;25,6;23,8
26/01/2023;1300 UTC;26,2;25,3
26/01/2023;1400 UTC;27,2;25,6
26/01/2023;1500 UTC;27,9;26,1
26/01/2023;1600 UTC;30,1;26,9
26/01/2023;1700 UTC;29,8;27,5
26/01/2023;1800 UTC;28,4;24,8
26/01/2023;1900 UTC;29,2;26,2
26/01/2023;2000 UTC;29,3;27,4
26/01/2023;2100 UTC;28,2;26,2
26/01/2023;2200 UTC;26,3;24,6
26/01/2023;2300 UTC;25,2;24,1
27/01/2023;0000 UTC;24,5;22,3
27/01/2023;0100 UTC;22,4;22,1
27/01/2023;0200 UTC;22,4;22
27/01/2023;0300 UTC;22,4;22
27/01/2023;0400 UTC;22,4;22,3
27/01/2023;0500 UTC;22,4;22,3
27/01/2023;0600 UTC;22,4;22,2
27/01/2023;0700 UTC;22,3;22,1
27/01/2023;0800 UTC;22,2;22
27/01/2023;0900 UTC;22,3;22,1
27/01/2023;1000 UTC;22,1;21,9
27/01/2023;1100 UTC;22,5;22
27/01/2023;1200 UTC;23,8;22,5
27/01/2023;1300 UTC;25,2;23,7
27/01/2023;1400 UTC;27,2;25,1
27/01/2023;1500 UTC;28,6;26,3
27/01/2023;1600 UTC;29,3;26,7
27/01/2023;1700 UTC;29,8;26,5
27/01/2023;1800 UTC;26,8;22,3
27/01/2023;1900 UTC;25,1;22,4
27/01/2023;2000 UTC;25,2;23,3
27/01/2023;2100 UTC;23,3;23,1
27/01/2023;2200 UTC;23,2;22,4
27/01/2023;2300 UTC;22,5;22,2
28/01/2023;0000 UTC;22,3;21,9
28/01/2023;0100 UTC;22,1;21,8
28/01/2023;0200 UTC;22,1;21,9
28/01/2023;0300 UTC;22;21,8
28/01/2023;0400 UTC;21,9;21,7
28/01/2023;0500 UTC;21,7;21,1
28/01/2023;0600 UTC;21,2;21,1
28/01/2023;0700 UTC;21,1;21
28/01/2023;0800 UTC;21;20,7
28/01/2023;0900 UTC;20,9;20,7
28/01/2023;1000 UTC;21,6;20,9
28/01/2023;1100 UTC;23;21,6
28/01/2023;1200 UTC;24,5;23
28/01/2023;1300 UTC;24,6;24,2
28/01/2023;1400 UTC;27,1;24,4
28/01/2023;1500 UTC;27;25,3
28/01/2023;1600 UTC;27,2;26,5
28/01/2023;1700 UTC;27,7;26,7
28/01/2023;1800 UTC;27,3;26,9
28/01/2023;1900 UTC;27,5;26,8
28/01/2023;2000 UTC;27,2;26,6
28/01/2023;2100 UTC;26,8;26
28/01/2023;2200 UTC;26,1;24
28/01/2023;2300 UTC;24,1;23,3
29/01/2023;0000 UTC;23,4;23,2
29/01/2023;0100 UTC;23,4;23,1
29/01/2023;0200 UTC;23,1;22,9
29/01/2023;0300 UTC;22,9;22,7
29/01/2023;0400 UTC;23,2;22,7
29/01/2023;0500 UTC;23,4;22,5
29/01/2023;0600 UTC;22,5;22,1
29/01/2023;0700 UTC;22,1;22
29/01/2023;0800 UTC;22,2;22
29/01/2023;0900 UTC;22,1;22
29/01/2023;1000 UTC;22,3;21,9
29/01/2023;1100 UTC;24,9;22,3
29/01/2023;1200 UTC;26,4;24,7
29/01/2023;1300 UTC;27,8;26,1
29/01/2023;1400 UTC;29,2;27,1
29/01/2023;1500 UTC;30,2;28,1
29/01/2023;1600 UTC;30,4;28,6
29/01/2023;1700 UTC;31,5;30
29/01/2023;1800 UTC;32;28,3
29/01/2023;1900 UTC;29,2;27,4
29/01/2023;2000 UTC;28,9;27,4
29/01/2023;2100 UTC;29,2;27,1
29/01/2023;2200 UTC;27,2;25,4
29/01/2023;2300 UTC;25,4;24,3
30/01/2023;0000 UTC;24,6;24
30/01/2023;0100 UTC;24,7;23,7
30/01/2023;0200 UTC;25;24,4
30/01/2023;0300 UTC;24,6;23,5
30/01/2023;0400 UTC;23,5;22,2
30/01/2023;0500 UTC;23;22,2
30/01/2023;0600 UTC;22,9;22,6
30/01/2023;0700 UTC;22,6;22,2
30/01/2023;0800 UTC;22,3;21,7
30/01/2023;0900 UTC;21,9;21,6
30/01/2023;1000 UTC;23,2;21,8
30/01/2023;1100 UTC;24,6;23,1
30/01/2023;1200 UTC;25,8;24,5
30/01/2023;1300 UTC;25,7;21,9
30/01/2023;1400 UTC;22,7;21,7
30/01/2023;1500 UTC;22,6;21,6
30/01/2023;1600 UTC;23,9;22,5
30/01/2023;1700 UTC;23,1;22,4
30/01/2023;1800 UTC;23,2;22,3
30/01/2023;1900 UTC;25;23,1
30/01/2023;2000 UTC;26,2;24,9
30/01/2023;2100 UTC;26,5;25,4
30/01/2023;2200 UTC;25,4;23,1
30/01/2023;2300 UTC;23,2;22
31/01/2023;0000 UTC;22,1;21,9
31/01/2023;0100 UTC;22,3;22
31/01/2023;0200 UTC;22,3;21,9
31/01/2023;0300 UTC;22,1;21,9
31/01/2023;0400 UTC;22,3;21,9
31/01/2023;0500 UTC;22,3;22
31/01/2023;0600 UTC;22;21,8
31/01/2023;0700 UTC;21,8;21,6
31/01/2023;0800 UTC;21,6;21,3
31/01/2023;0900 UTC;21,3;21
31/01/2023;1000 UTC;21,7;21,3
31/01/2023;1100 UTC;23,8;21,6
31/01/2023;1200 UTC;25,2;23,7
31/01/2023;1300 UTC;27;25,2
31/01/2023;1400 UTC;28,4;26,6
31/01/2023;1500 UTC;30;27
31/01/2023;1600 UTC;30,8;27,7
31/01/2023;1700 UTC;31,5;29,3
31/01/2023;1800 UTC;31,3;29,1
31/01/2023;1900 UTC;29,1;27,7
31/01/2023;2000 UTC;30,6;28,7
31/01/2023;2100 UTC;29,3;24
31/01/2023;2200 UTC;24,5;22,8
31/01/2023;2300 UTC;23,2;22,3
01/02/2023;0000 UTC;22,3;22
01/02/2023;0100 UTC;23;22
01/02/2023;0200 UTC;23,8;22,8
01/02/2023;0300 UTC;23,5;22,8
01/02/2023;0400 UTC;23;22,5
01/02/2023;0500 UTC;22,7;22
01/02/2023;0600 UTC;22,7;22,2
01/02/2023;0700 UTC;22,7;21,8
01/02/2023;0800 UTC;22,5;21,9
01/02/2023;0900 UTC;22,7;21,9
01/02/2023;1000 UTC;21,9;21,4
01/02/2023;1100 UTC;22,6;21,4
01/02/2023;1200 UTC;22,5;21,4
01/02/2023;1300 UTC;21,7;21,3
01/02/2023;1400 UTC;22,7;21,6
01/02/2023;1500 UTC;23,4;22,5
01/02/2023;1600 UTC;26,4;23,4
01/02/2023;1700 UTC;27,4;25,7
01/02/2023;1800 UTC;27,3;26
01/02/2023;1900 UTC;28,7;26,7
01/02/2023;2000 UTC;29,4;27,5
01/02/2023;2100 UTC;28,3;27,4
01/02/2023;2200 UTC;27,9;24,6
01/02/2023;2300 UTC;24,6;23,3
02/02/2023;0000 UTC;23,3;22,6
02/02/2023;0100 UTC;22,8;22,1
02/02/2023;0200 UTC;22,1;21,7
02/02/2023;0300 UTC;21,9;21,7
02/02/2023;0400 UTC;21,8;21,5
02/02/2023;0500 UTC;22,2;21,6
02/02/2023;0600 UTC;22,1;21,5
02/02/2023;0700 UTC;21,6;21,3
02/02/2023;0800 UTC;21,5;21
02/02/2023;0900 UTC;21;20,6
02/02/2023;1000 UTC;21,2;20,9
02/02/2023;1100 UTC;23,3;21,1
02/02/2023;1200 UTC;25;23,3
02/02/2023;1300 UTC;26,4;24,9
02/02/2023;1400 UTC;28;26,2
02/02/2023;1500 UTC;29,7;27,6
02/02/2023;1600 UTC;29,8;28,7
02/02/2023;1700 UTC;30,3;28,8
02/02/2023;1800 UTC;30,7;29,3
02/02/2023;1900 UTC;31,2;29,8
02/02/2023;2000 UTC;30,4;29,6
02/02/2023;2100 UTC;29,6;27,8
02/02/2023;2200 UTC;28,3;24
02/02/2023;2300 UTC;25,1;23,5
03/02/2023;0000 UTC;24,5;23,8
03/02/2023;0100 UTC;24,9;23,4
03/02/2023;0200 UTC;24,7;22,9
03/02/2023;0300 UTC;23;22,5
03/02/2023;0400 UTC;23,4;22,3
03/02/2023;0500 UTC;24,1;22,4
03/02/2023;0600 UTC;24,1;22,4
03/02/2023;0700 UTC;23,8;21,9
03/02/2023;0800 UTC;21,9;21,5
03/02/2023;0900 UTC;21,7;21,4
03/02/2023;1000 UTC;22,1;21,4
03/02/2023;1100 UTC;24,3;22,1
03/02/2023;1200 UTC;26,3;24,3
03/02/2023;1300 UTC;28;26,1
03/02/2023;1400 UTC;29,1;27,1
03/02/2023;1500 UTC;30,1;28,4
03/02/2023;1600 UTC;30,6;29
03/02/2023;1700 UTC;30,4;28,9
03/02/2023;1800 UTC;31,2;29,5
03/02/2023;1900 UTC;31,4;29,8
03/02/2023;2000 UTC;31,7;30,2
03/02/2023;2100 UTC;30,3;27,6
03/02/2023;2200 UTC;27,6;26,6
03/02/2023;2300 UTC;27,4;25,6
04/02/2023;0000 UTC;25,6;24,4
04/02/2023;0100 UTC;24,4;23,4
04/02/2023;0200 UTC;24,5;23,4
04/02/2023;0300 UTC;24,4;23,3
04/02/2023;0400 UTC;23,5;22,7
04/02/2023;0500 UTC;23,1;22,7
04/02/2023;0600 UTC;22,8;22,2
04/02/2023;0700 UTC;22,2;22
04/02/2023;0800 UTC;22,1;22
04/02/2023;0900 UTC;22,3;22
04/02/2023;1000 UTC;22,9;22,2
04/02/2023;1100 UTC;24,1;22,9
04/02/2023;1200 UTC;26,8;24,1
04/02/2023;1300 UTC;28,9;26,7
04/02/2023;1400 UTC;30,1;28,4
04/02/2023;1500 UTC;31;28,5
04/02/2023;1600 UTC;31,7;29,3
04/02/2023;1700 UTC;32,3;30,8
04/02/2023;1800 UTC;32,7;31,2
04/02/2023;1900 UTC;32,3;29,1
04/02/2023;2000 UTC;29;25
04/02/2023;2100 UTC;25,7;25
04/02/2023;2200 UTC;25,3;23,6
04/02/2023;2300 UTC;23,7;22,8
05/02/2023;0000 UTC;23,1;22,7
05/02/2023;0100 UTC;23,2;22,9
05/02/2023;0200 UTC;23,1;22,7
05/02/2023;0300 UTC;23,4;22,6
05/02/2023;0400 UTC;23,4;23,2
05/02/2023;0500 UTC;23,5;23
05/02/2023;0600 UTC;23,1;22,5
05/02/2023;0700 UTC;22,7;22,5
05/02/2023;0800 UTC;22,5;22,3
05/02/2023;0900 UTC;22,5;22,3
05/02/2023;1000 UTC;22,4;22,1
05/02/2023;1100 UTC;24,1;22,2
05/02/2023;1200 UTC;25,6;24,1
05/02/2023;1300 UTC;25,4;20,9
05/02/2023;1400 UTC;23;20,9
05/02/2023;1500 UTC;24,7;22,8
05/02/2023;1600 UTC;26,5;24,2
05/02/2023;1700 UTC;27,2;26
05/02/2023;1800 UTC;29,9;27
05/02/2023;1900 UTC;30,6;29,4
05/02/2023;2000 UTC;30,2;29
05/02/2023;2100 UTC;30;28,1
05/02/2023;2200 UTC;28,1;25,1
05/02/2023;2300 UTC;25,1;23,9
06/02/2023;0000 UTC;24,3;23,7
06/02/2023;0100 UTC;24;23,6
06/02/2023;0200 UTC;23,7;23,5
06/02/2023;0300 UTC;24,1;23,5
06/02/2023;0400 UTC;24,1;23,3
06/02/2023;0500 UTC;23,9;23,4
06/02/2023;0600 UTC;23,4;22,5
06/02/2023;0700 UTC;22,6;22,3
06/02/2023;0800 UTC;22,4;22,1
06/02/2023;0900 UTC;22,3;22
06/02/2023;1000 UTC;22,9;22,2
06/02/2023;1100 UTC;24,4;22,9
06/02/2023;1200 UTC;26;24,3
06/02/2023;1300 UTC;27,1;25,9
06/02/2023;1400 UTC;30,2;27,1
06/02/2023;1500 UTC;30,8;29,5
06/02/2023;1600 UTC;31,3;29,6
06/02/2023;1700 UTC;32;30,5
06/02/2023;1800 UTC;31,9;29,4
06/02/2023;1900 UTC;29,8;29,1
06/02/2023;2000 UTC;30,5;28,6
06/02/2023;2100 UTC;28,6;28
06/02/2023;2200 UTC;28,3;25,7
06/02/2023;2300 UTC;25,7;24,6
07/02/2023;0000 UTC;24,6;24
07/02/2023;0100 UTC;24,1;23,8
07/02/2023;0200 UTC;24,7;23,8
07/02/2023;0300 UTC;25,1;24
07/02/2023;0400 UTC;24,4;23,6
07/02/2023;0500 UTC;23,7;23,3
07/02/2023;0600 UTC;23,3;22,9
07/02/2023;0700 UTC;24,6;22,9
07/02/2023;0800 UTC;24,1;23,2
07/02/2023;0900 UTC;23,9;22,8
07/02/2023;1000 UTC;23,2;22
07/02/2023;1100 UTC;24,5;22,3
07/02/2023;1200 UTC;26,2;24,4
07/02/2023;1300 UTC;28,4;25,8
07/02/2023;1400 UTC;28,9;27,6
07/02/2023;1500 UTC;30,1;28
07/02/2023;1600 UTC;30,6;29,2
07/02/2023;1700 UTC;29,8;29,1
07/02/2023;1800 UTC;31,6;29,7
07/02/2023;1900 UTC;30,7;26,5
07/02/2023;2000 UTC;29,9;27,1
07/02/2023;2100 UTC;29;26,4
07/02/2023;2200 UTC;26,4;24,6
07/02/2023;2300 UTC;24,6;24
08/02/2023;0000 UTC;24,1;23,9
08/02/2023;0100 UTC;24,1;23,9
08/02/2023;0200 UTC;23,9;23,6
08/02/2023;0300 UTC;23,7;23,6
08/02/2023;0400 UTC;24;20,3
08/02/2023;0500 UTC;21,1;20,3
08/02/2023;0600 UTC;20,8;20,6
08/02/2023;0700 UTC;20,9;20,7
08/02/2023;0800 UTC;21,1;20,8
08/02/2023;0900 UTC;21;20,8
08/02/2023;1000 UTC;21,1;20,9
08/02/2023;1100 UTC;23;21,1
08/02/2023;1200 UTC;24,8;22,8
08/02/2023;1300 UTC;25,8;24,5
08/02/2023;1400 UTC;26,2;25
08/02/2023;1500 UTC;26,8;25,7
08/02/2023;1600 UTC;28;26,5
08/02/2023;1700 UTC;28;27,2
08/02/2023;1800 UTC;29,5;27,4
08/02/2023;1900 UTC;28,8;28,1
08/02/2023;2000 UTC;28,7;27,8
08/02/2023;2100 UTC;28,2;26,2
08/02/2023;2200 UTC;26,4;24,6
08/02/2023;2300 UTC;24,6;23,7
09/02/2023;0000 UTC;23,9;23,5
09/02/2023;0100 UTC;24,5;22,6
09/02/2023;0200 UTC;22,6;22,3
09/02/2023;0300 UTC;22,7;22,5
09/02/2023;0400 UTC;22,7;22,5
09/02/2023;0500 UTC;22,5;22
09/02/2023;0600 UTC;22,2;22
09/02/2023;0700 UTC;22,4;22,2
09/02/2023;0800 UTC;22,6;22,3
09/02/2023;0900 UTC;22,5;22,4
09/02/2023;1000 UTC;22,4;22,2
09/02/2023;1100 UTC;22,9;22,3
09/02/2023;1200 UTC;24,7;22,8
09/02/2023;1300 UTC;26,4;24,6
09/02/2023;1400 UTC;28,2;26,3
09/02/2023;1500 UTC;28,6;27,2
09/02/2023;1600 UTC;31,2;27,7
09/02/2023;1700 UTC;31,1;29,7
09/02/2023;1800 UTC;31,6;30
09/02/2023;1900 UTC;31,8;29,3
09/02/2023;2000 UTC;29,3;27,9
09/02/2023;2100 UTC;28,8;27,8
09/02/2023;2200 UTC;28,5;26
09/02/2023;2300 UTC;26;23,6
10/02/2023;0000 UTC;23,6;23,1
10/02/2023;0100 UTC;23,3;22,8
10/02/2023;0200 UTC;23;22,6
10/02/2023;0300 UTC;22,7;22,1
10/02/2023;0400 UTC;22,3;22
10/02/2023;0500 UTC;22,1;21,9
10/02/2023;0600 UTC;21,9;21,7
10/02/2023;0700 UTC;21,7;21,6
10/02/2023;0800 UTC;21,6;21,3
10/02/2023;0900 UTC;21,5;21,2
10/02/2023;1000 UTC;22,1;21,3
10/02/2023;1100 UTC;24,5;22,1
10/02/2023;1200 UTC;26,5;24,5
10/02/2023;1300 UTC;29,9;26,5
10/02/2023;1400 UTC;30,3;29,2
10/02/2023;1500 UTC;31,2;29,8
10/02/2023;1600 UTC;31,6;30,3
10/02/2023;1700 UTC;32,8;30,5
10/02/2023;1800 UTC;32,9;31,8
10/02/2023;1900 UTC;32,6;30,6
10/02/2023;2000 UTC;32,4;30,6
10/02/2023;2100 UTC;32,4;30,9
10/02/2023;2200 UTC;30,9;28,5
10/02/2023;2300 UTC;28,4;26,3
11/02/2023;0000 UTC;27,8;26,2
11/02/2023;0100 UTC;27,4;25,8
11/02/2023;0200 UTC;25,9;24,2
11/02/2023;0300 UTC;24,2;23,5
11/02/2023;0400 UTC;23,8;23
11/02/2023;0500 UTC;23;22,5
11/02/2023;0600 UTC;22,6;22,4
11/02/2023;0700 UTC;23,6;21,4
11/02/2023;0800 UTC;22,8;21,2
11/02/2023;0900 UTC;23,2;21,3
11/02/2023;1000 UTC;24,2;22,8
11/02/2023;1100 UTC;24,1;22,9
11/02/2023;1200 UTC;24,2;23,5
11/02/2023;1300 UTC;25,8;23,8
11/02/2023;1400 UTC;28,8;25,6
11/02/2023;1500 UTC;28,9;27,2
11/02/2023;1600 UTC;30;28,4
11/02/2023;1700 UTC;31,6;29,2
11/02/2023;1800 UTC;31,8;30,1
11/02/2023;1900 UTC;30,2;28,8
11/02/2023;2000 UTC;28,8;26,8
11/02/2023;2100 UTC;27,9;27,4
11/02/2023;2200 UTC;27,5;25,3
11/02/2023;2300 UTC;25,3;24,3
12/02/2023;0000 UTC;25,2;24,4
12/02/2023;0100 UTC;24,7;23,8
12/02/2023;0200 UTC;25;23
12/02/2023;0300 UTC;24,2;23
12/02/2023;0400 UTC;23,8;22,8
12/02/2023;0500 UTC;23,2;22,7
12/02/2023;0600 UTC;23,1;22,9
12/02/2023;0700 UTC;23;22,9
12/02/2023;0800 UTC;23,8;22,9
12/02/2023;0900 UTC;23;21,5
12/02/2023;1000 UTC;22,1;21,3
12/02/2023;1100 UTC;22;21,4
12/02/2023;1200 UTC;23,6;21,8
12/02/2023;1300 UTC;26,6;23,5
12/02/2023;1400 UTC;28,6;26,3
12/02/2023;1500 UTC;28,7;27,8
12/02/2023;1600 UTC;30,4;28,1
12/02/2023;1700 UTC;30,5;29,4
12/02/2023;1800 UTC;31;29,6
12/02/2023;1900 UTC;31,1;24,4
12/02/2023;2000 UTC;27,7;24,5
12/02/2023;2100 UTC;27,6;26
12/02/2023;2200 UTC;26;23,9
12/02/2023;2300 UTC;24,7;23,7
