Modelo,Lagrange Multiplier Statistic,p-value,f-value,f-p-value
GRU,277.0133604587106,3.3608482381608987e-62,356.6198795092028,4.651861283629604e-70
SVM,104.27376093005473,1.7620715441834004e-24,113.0675590297948,2.1663214433050066e-25
LSTM,190.28628143252195,2.753228345692035e-43,351.88339220240715,3.9387211439014295e-57
SVR,94.15549051292567,2.916864303370819e-22,101.25119674980714,5.370620107267689e-23
