Modelo,MSE_BoxCox,MAE_BoxCox,MSE_Garch,MAE_Garch
LSTM,1248.0296555641585,34.95833466295253,1255.9853593011806,35.07206632071
GRU,1271.316867228338,35.260645678081616,1266.3639168176687,35.18433807699438
SVR,1274.3261335470786,35.40590008092455,1274.3167364103554,35.40575307758273
