Modelo,Shapiro-Wilk Statistic,Shapiro-Wilk p-value,Kolmogorov-Smirnov Statistic,Kolmogorov-Smirnov p-value
GRU,0.8026498049360459,2.6834467515612547e-36,0.257198253404793,1.7959039851066571e-72
SVM,0.7986850825087008,1.430088448346947e-37,0.25411556667301005,1.8688571101598435e-75
LSTM,0.893546174203728,2.501229709681809e-16,0.4103764584315188,2.881607467667461e-63
SVR,0.9315237400209586,4.294634996524723e-24,0.2554952962184589,2.769988018811148e-76
