Modelo,MSE_BoxCox,MAE_BoxCox,MSE_Garch,MAE_Garch
LSTM,2552.5936139603373,49.252119214736574,2541.9694055752725,49.19130445682848
GRU,2584.7928455149213,49.58240385510487,2596.976912485573,49.71703685626409
SVR,2516.0673597053315,49.33233171561456,2516.067359705332,49.33233171561456
