Parametro,Value,NmeComp,Unnamed: 0,Autor 1,Ano de publicação,Título,Nome da revista/periódico,Volume,Páginas inicial e final,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Resultado,NumericTimestamp,Moving_Average
Temperature,0.09965034965034958,MainPumpP1,,,,,,,,,,,,,,,19094.191574074073,47.214285714285715
Temperature,0.08391608391608385,MainPumpP1,,,,,,,,,,,,,,,19094.193657407406,47.857142857142854
Temperature,0.07167832167832155,MainPumpP1,,,,,,,,,,,,,,,19094.19574074074,47.98571428571429
Temperature,0.04370629370629375,MainPumpP1,,,,,,,,,,,,,,,19094.197824074075,47.785714285714285
Temperature,0.03321678321678323,MainPumpP1,,,,,,,,,,,,,,,19094.19990740741,47.228571428571435
Temperature,0.022727272727272707,MainPumpP1,,,,,,,,,,,,,,,19094.20199074074,46.48571428571429
Temperature,0.00874125874125875,MainPumpP1,,,,,,,,,,,,,,,19094.204074074074,45.67142857142857
Temperature,0.0034965034965034336,MainPumpP1,,,,,,,,,,,,,,,19094.206157407407,44.885714285714286
Temperature,0.047202797202797075,MainPumpP1,,,,,,,,,,,,,,,19094.468657407408,44.58571428571429
Temperature,0.0699300699300699,MainPumpP1,,,,,,,,,,,,,,,19094.47074074074,44.57142857142857
Temperature,0.08391608391608385,MainPumpP1,,,,,,,,,,,,,,,19094.472824074073,44.9
Temperature,0.0699300699300699,MainPumpP1,,,,,,,,,,,,,,,19094.474907407406,45.199999999999996
Temperature,0.055944055944055826,MainPumpP1,,,,,,,,,,,,,,,19094.47699074074,45.47142857142857
Temperature,0.047202797202797075,MainPumpP1,,,,,,,,,,,,,,,19094.479074074075,45.785714285714285
Temperature,0.036713286713286664,MainPumpP1,,,,,,,,,,,,,,,19094.48115740741,46.057142857142864
Temperature,0.03146853146853146,MainPumpP1,,,,,,,,,,,,,,,19094.48324074074,45.92857142857143
Temperature,0.020979020979020935,MainPumpP1,,,,,,,,,,,,,,,19094.485324074074,45.528571428571425
Temperature,0.005244755244755206,MainPumpP1,,,,,,,,,,,,,,,19094.487407407407,44.885714285714286
Temperature,0.0034965034965034336,MainPumpP1,,,,,,,,,,,,,,,19094.61865740741,44.34285714285714
Temperature,0.0804195804195803,MainPumpP1,,,,,,,,,,,,,,,19094.620740740742,44.542857142857144
Temperature,0.15384615384615374,MainPumpP1,,,,,,,,,,,,,,,19094.622824074075,45.41428571428571
Temperature,0.19405594405594395,MainPumpP1,,,,,,,,,,,,,,,19094.624907407408,46.699999999999996
Temperature,0.2325174825174825,MainPumpP1,,,,,,,,,,,,,,,19094.62699074074,48.34285714285714
Temperature,0.27447552447552437,MainPumpP1,,,,,,,,,,,,,,,19094.629074074073,50.41428571428571
Temperature,0.3059440559440558,MainPumpP1,,,,,,,,,,,,,,,19094.631157407406,52.871428571428574
Temperature,0.31118881118881103,MainPumpP1,,,,,,,,,,,,,,,19094.63324074074,55.38571428571429
Temperature,0.2954545454545454,MainPumpP1,,,,,,,,,,,,,,,19094.635324074075,57.142857142857146
Temperature,0.2797202797202798,MainPumpP1,,,,,,,,,,,,,,,19094.63740740741,58.17142857142857
Temperature,0.25174825174825166,MainPumpP1,,,,,,,,,,,,,,,19094.63949074074,58.642857142857146
Temperature,0.21678321678321677,MainPumpP1,,,,,,,,,,,,,,,19094.641574074074,58.51428571428572
Temperature,0.19055944055944052,MainPumpP1,,,,,,,,,,,,,,,19094.643657407407,57.82857142857143
Temperature,0.1748251748251748,MainPumpP1,,,,,,,,,,,,,,,19094.64574074074,56.75714285714287
Temperature,0.145104895104895,MainPumpP1,,,,,,,,,,,,,,,19094.647824074073,55.40000000000001
Temperature,0.1223776223776224,MainPumpP1,,,,,,,,,,,,,,,19094.64990740741,53.98571428571429
Temperature,0.1048951048951049,MainPumpP1,,,,,,,,,,,,,,,19094.651990740742,52.557142857142864
Temperature,0.0751748251748251,MainPumpP1,,,,,,,,,,,,,,,19094.654074074075,51.114285714285714
Temperature,0.04895104895104885,MainPumpP1,,,,,,,,,,,,,,,19094.656157407408,49.74285714285714
Temperature,0.036713286713286664,MainPumpP1,,,,,,,,,,,,,,,19094.65824074074,48.48571428571429
Temperature,0.019230769230769162,MainPumpP1,,,,,,,,,,,,,,,19094.660324074073,47.214285714285715
Temperature,0.005244755244755206,MainPumpP1,,,,,,,,,,,,,,,19094.662407407406,46.07142857142857
Temperature,0.02622377622377625,MainPumpP1,,,,,,,,,,,,,,,19095.135324074075,45.285714285714285
Temperature,0.08566433566433562,MainPumpP1,,,,,,,,,,,,,,,19095.13740740741,45.128571428571426
Temperature,0.13636363636363635,MainPumpP1,,,,,,,,,,,,,,,19095.13949074074,45.628571428571426
Temperature,0.20104895104895104,MainPumpP1,,,,,,,,,,,,,,,19095.141574074074,46.871428571428574
Temperature,0.24475524475524468,MainPumpP1,,,,,,,,,,,,,,,19095.143657407407,48.57142857142857
Temperature,0.2849650349650348,MainPumpP1,,,,,,,,,,,,,,,19095.14574074074,50.74285714285715
Temperature,0.3059440559440558,MainPumpP1,,,,,,,,,,,,,,,19095.147824074073,53.2
Temperature,0.29370629370629353,MainPumpP1,,,,,,,,,,,,,,,19095.14990740741,55.385714285714286
Temperature,0.26398601398601396,MainPumpP1,,,,,,,,,,,,,,,19095.151990740742,56.84285714285715
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.154074074075,58.15714285714286
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.156157407408,58.942857142857136
Temperature,0.29370629370629353,MainPumpP1,,,,,,,,,,,,,,,19095.15824074074,59.34285714285714
Temperature,0.3006993006993006,MainPumpP1,,,,,,,,,,,,,,,19095.160324074073,59.471428571428575
Temperature,0.3234265734265733,MainPumpP1,,,,,,,,,,,,,,,19095.162407407406,59.614285714285714
Temperature,0.29195804195804187,MainPumpP1,,,,,,,,,,,,,,,19095.16449074074,59.6
Temperature,0.3181818181818181,MainPumpP1,,,,,,,,,,,,,,,19095.166574074075,60.042857142857144
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.16865740741,60.042857142857144
Temperature,0.3059440559440558,MainPumpP1,,,,,,,,,,,,,,,19095.17074074074,60.114285714285714
Temperature,0.35664335664335667,MainPumpP1,,,,,,,,,,,,,,,19095.172824074074,60.62857142857143
Temperature,0.3671328671328671,MainPumpP1,,,,,,,,,,,,,,,19095.174907407407,61.17142857142857
Temperature,0.3531468531468531,MainPumpP1,,,,,,,,,,,,,,,19095.17699074074,61.41428571428571
Temperature,0.32867132867132853,MainPumpP1,,,,,,,,,,,,,,,19095.179074074073,61.714285714285715
Temperature,0.3006993006993006,MainPumpP1,,,,,,,,,,,,,,,19095.18115740741,61.57142857142857
Temperature,0.2657342657342656,MainPumpP1,,,,,,,,,,,,,,,19095.183240740742,61.31428571428571
Temperature,0.23951048951048937,MainPumpP1,,,,,,,,,,,,,,,19095.185324074075,60.77142857142858
Temperature,0.21153846153846145,MainPumpP1,,,,,,,,,,,,,,,19095.187407407408,59.58571428571428
Temperature,0.17307692307692302,MainPumpP1,,,,,,,,,,,,,,,19095.18949074074,58.0
Temperature,0.1625874125874125,MainPumpP1,,,,,,,,,,,,,,,19095.191574074073,56.44285714285714
Temperature,0.1503496503496502,MainPumpP1,,,,,,,,,,,,,,,19095.193657407406,54.98571428571429
Temperature,0.16083916083916072,MainPumpP1,,,,,,,,,,,,,,,19095.19574074074,53.84285714285714
Temperature,0.19405594405594395,MainPumpP1,,,,,,,,,,,,,,,19095.197824074075,53.25714285714286
Temperature,0.20104895104895104,MainPumpP1,,,,,,,,,,,,,,,19095.19990740741,52.942857142857136
